Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,,,
Periode 01-31 Mei 2026,,,,,,,,,,
Tanggal,No,Keterangan,Kategori, Penerimaan , Pengeluaran ,Saldo,,Kategori,SUM of  Penerimaan ,SUM of  Pengeluaran 
13-mei,10,Bi pembelian ATK tgl 13/05/2026- 1pcs tas spoundbond@ 2.000,ATK,,"2,000","2,797,180",,,,
13-mei,10,Bi pembelian ATK tgl 13/05/2026- 4pcs  hvs 100 1 sisi A4@ 2.750,ATK,,"11,000","2,786,180",,,,
13-mei,10,Bi untuk pembelian listrik server randuagung idpel 5130010486945 tgl 13/05/2026,Listrik Server,,"205,000","2,581,180",,,,
13-mei,10,Bi untuk sumbangan tpq keliling tgl 12/05/2026,lain-lain,,"10,000","2,571,180",,,,
15-mei,11,dana Masuk Operasional,dana masuk,2000000,,"4,571,180",,,,
15-mei,11,Bi BBM N 3457 ABF km 4988 tgl 06/05/2026 ltr 1.5 randuagung,transportasi,,"15,000","4,556,180",,,,
15-mei,11,"Bi BBM N 6840 GE km 898763 tgl 13/05/2026 ltr 2.0 maintance lawang,gadang",transportasi,,"20,000","4,536,180",,,,
15-mei,11,Bi BBM N 2113 EFD km 543257  tgl 13/05/2026 ltr 1.5 ikr lawang,transportasi,,"15,000","4,521,180",,,,
15-mei,11,"Bi BBM N 2668 GM km 502455  tgl 14/05/2026 ltr 2.0 maintance srigading,gadang",transportasi,,"20,000","4,501,180",,,,
15-mei,11,"Bi BBM DK 6912 AWW km 455023 tgl 14/05/2026 ltr 2.0 lawang, gadang",transportasi,,"20,000","4,481,180",,,,
15-mei,11,Bi BBM N 2109 EFD km 501224 tgl 15/05/2026 ltr 1.5 ikr lawang,transportasi,,"15,000","4,466,180",,,,
15-mei,11,Bi BBM N 2110 km 667678 tgl 15/05/2026 ltr 1.0  lawang,transportasi,,"12,000","4,454,180",,,,
15-mei,11,Bi untuk operasional transportasi gadang tgl 14/05/2026,transportasi,,"100,000","4,354,180",,,,
15-mei,11,Bi untuk perawatan  kendaraan service oli N 6840 GE tgl 14/05/2026,perawatan kendaraan ,,"50,000","4,304,180",,,,
15-mei,11,Bi untuk perawatan  kendaraan cuci L l 1793 ACP tgl 15/05/2026,perawatan kendaraan ,,"45,000","4,259,180",,,,
15-mei,11,Bi untuk konsumsi kantor tgl  14/05/2026,konsumsi kantor,,"100,000","4,159,180",,,,
15-mei,11,Bi untuk konsumsi kantor tgl  15/05/2026,konsumsi kantor,,"465,000","3,694,180",,,,
15-mei,11,Bi untuk konsumsi operasional surabaya tgl 15/05/2026,konsumsi,,"51,000","3,643,180",,,,
15-mei,11,Bi pembelian material tgl  14/05/2026- 1pcs pylox  @ 40.000,Material,,"40,000","3,603,180",,,,
15-mei,11,Bi pembelian material tgl  15/05/2026- 1pcs hit lily b  @ 19.200,Material,,"19,200","3,583,980",,,,
15-mei,11,diskon pembelian ,diskon,,"-1,700","3,585,680",,,,
15-mei,11,Bi untuk pembelian pulsa no NOC adimas 081331615537 tgl 15/05/2026,pulsa,,"50,000","3,535,680",,,,
15-mei,11,Bi untuk pembelian rumah tangga tgl 15/05/2026- 1pcs idm ktg plstk @ 500,Rumah Tangga,,500,"3,535,180",,,,
15-mei,11,Bi untuk pembelian rumah tangga tgl 15/05/2026- 1pcs gmp gula @ 17.500,Rumah Tangga,,17500,"3,517,680",,,,
15-mei,11,Bi untuk pembelian rumah tangga tgl 15/05/2026- 2pcs neo /cf mchno @ 10.900,Rumah Tangga,,21800,"3,495,880",,,,
15-mei,11,Bi untuk pembelian rumah tangga tgl 15/05/2026- 1pcs top /coff mkachno @ 14.000,Rumah Tangga,,14000,"3,481,880",,,,
15-mei,11,Bi untuk pembelian rumah tangga tgl 15/05/2026- 1pcs neo/c crml @ 10.800,Rumah Tangga,,10800,"3,471,080",,,,
15-mei,11,Bi untuk pembelian rumah tangga tgl 15/05/2026- 2pcs lwk kopi murni @ 10.500,Rumah Tangga,,21000,"3,450,080",,,,
15-mei,11,Bi untuk operasional pak bara tgl 15/05/2026,lain-lain,,100000,"3,350,080",,,,
15-mei,11,Bi untuk operasional surabaya tgl 15/05/2026,perjalanan bisnis,,226500,"3,123,580",,,,
15-mei,11,Bi konsumsi  penarikan dan ikr gadang team tyo tgl 15/05/2026,sangu,,50000,"3,073,580",,,,
16-mei,12,"Bi BBM N 6840 GE km 867232 tgl 16/05/2026 ltr 2.9 maintance  lawang,gondang,arjosari,gadang",transportasi,,29000,"3,044,580",,,,
16-mei,12,Bi BBM N 2113 EFD km 535403 tgl 16/05/2026 ltr 1.0 maintance srigading,transportasi,,10000,"3,034,580",,,,
16-mei,12,Bi parkir N 4064 EDL mr.diy tgl 16/05/2026,transportasi,,2000,"3,032,580",,,,
16-mei,12,Bi pembelian ATK tgl 16/05/2026- 1pcs  ruler 30m@ 9.000,ATK,,9000,"3,023,580",,,,
16-mei,12,Bi pembelian ATK tgl 16/05/2026- 2pcs  tape trans @ 12.000,ATK,,24000,"2,999,580",,,,
16-mei,12,Bi untuk konsumsi team redline starlite tgl 16/05/2026,konsumsi,,26000,"2,973,580",,,,
16-mei,12,Bi untuk konsumsi kantor tgl 16/05/2026,konsumsi,,100000,"2,873,580",,,,
16-mei,12,Bi untuk pembelian rumah tangga tgl 16/05/2026- 5pcs timbangan  @ 24.888,Rumah Tangga,,114151,"2,759,429",,,,
16-mei,12,Bi konsumsi  pelurusan srigading rahmad tgl 16/05/2026,sangu,,50000,"2,709,429",,,,
18-mei,13,"Bi BBM M 5687 CP  km 497121 tgl 11/05/2026 ltr 2.0 martopuro,lawang,gadang",transportasi,,20000,"2,689,429",,,,
18-mei,13,Bi BBM M 5687 CP  km 499631 tgl 14/05/2026 ltr 2.0 gadang,transportasi,,20000,"2,669,429",,,,
18-mei,13,Bi BBM N 2113 EFD km 506370 tgl 15/05/2026 ltr 1.0 maintance lawang,transportasi,,10000,"2,659,429",,,,
18-mei,13,Bi BBM M 5687 CP  km 500440 tgl 16/05/2026 ltr 2.5 gadang,transportasi,,25000,"2,634,429",,,,
18-mei,13,Bi BBM M 5687 CP  km 500948 tgl 17/05/2026 ltr 2.5 gadang,transportasi,,25000,"2,609,429",,,,
18-mei,13,Bi BBM N 2668 GM km 508149 tgl 17/05/2026 ltr 2.0 maintance gadang,transportasi,,25000,"2,584,429",,,,
18-mei,13,Bi BBM N 2418 YBI tgl 06/05/2026 ltr 1.5 maintance lawang,transportasi,,15000,"2,569,429",,,,
18-mei,13,"Bi BBM N 2113 EFD km 536669 tgl 18/05/2026 ltr 1.0 maintance srigading, singosari",transportasi,,10000,"2,559,429",,,,
18-mei,13,"Bi BBM N 2668 GM km 508249 tgl 18/05/2026 ltr 2.5 maintance gadang,bedali",transportasi,,25000,"2,534,429",,,,
18-mei,13,"Bi BBM N 2110 EFD tgl 18/05/2026 ltr 1.6 maintance srigading, rest area",transportasi,,16000,"2,518,429",,,,
18-mei,13,Bi BBM N 2114 EFD km 412123 tgl 18/05/2026 ltr 1.0 maintance gadang,transportasi,,10000,"2,508,429",,,,
18-mei,13,"Bi BBM P 2616 UC  tgl 18/05/2026 ltr 1.0 maintance lawang,singossari",transportasi,,10000,"2,498,429",,,,
18-mei,13,Bi BBM P 2616 UC  tgl 18/05/2026 ltr 1.5 maintance singossari,transportasi,,15000,"2,483,429",,,,
18-mei,13,Bi BBM L 1793 ACP  tgl 18/05/2026 ltr 10.0 ,transportasi,,"100,000","2,383,429",,,,
18-mei,13,Bi parkir P 2616 UC Bank Mandiri Singosari tgl 18/05/2026,transportasi,,2000,"2,381,429",,,,
18-mei,13,Bi pembelian material tgl  17/05/2026- 1pcs isolasi nasional @ 9.000,Material,,9000,"2,372,429",,,,
18-mei,13,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 18/05/2026,Listrik Kantor,,205000,"2,167,429",,,,
18-mei,13,Bi untuk konsumsi kantor tgl 18/05/2026,konsumsi kantor,,110000,"2,057,429",,,,
18-mei,13,Bi pembelian ATK tgl 18/05/2026- 18pcs hvs 100 1sisi A3 @ 2.700,ATK,,49000,"2,008,429",,,,
18-mei,13,Bi pembelian ATK tgl 18/05/2026- 4pcs hvs 100 1sisi A3 @ 2.750,ATK,,11000,"1,997,429",,,,
18-mei,13,Bi pembelian ATK tgl 18/05/2026- 2pcs materai @ 12.000,ATK,,24000,"1,973,429",,,,
18-mei,13,Bi pembelian ATK tgl 18/05/2026- 3pcs print A3 @ 3.000,ATK,,9000,"1,964,429",,,,
18-mei,13,Bi pembelian ATK tgl 18/05/2026- 4pcs print A4 @ 1.000,ATK,,4000,"1,960,429",,,,
18-mei,13,Bi untuk fee redline stasiun lawang dan blimbing tgl 18/05/2026,fee,,1000000,"960,429",,,,
18-mei,13,Bi untuk operasional rapat pak budi di pandaan tgl 18/05/2026,perjalanan bisnis,,119000,"841,429",,,,
19-mei,14,dana Masuk Operasional,dana masuk,3000000,,"3,841,429",,,,
19-mei,14,Bi untuk konsumsi kantor tgl 19/05/2026,konsumsi kantor,,121000,"3,720,429",,,,
19-mei,14,Bi untuk konsumsi team teknisi lembur malam tgl 19/05/2026,konsumsi,,50000,"3,670,429",,,,
19-mei,14,Bi BBM N 2109 EFD km 503617 tgl 19/05/2026 ltr 2.0 IKR gadang,transportasi,,20000,"3,650,429",,,,
19-mei,14,"Bi BBM N 2110 EFD km 454613 tgl 19/05/2026 ltr 2.0 maintance lawang ,singosari",transportasi,,20000,"3,630,429",,,,
19-mei,14,Bi BBM N 2760 ABO km 47851 tgl 20/05/2026 ltr 2.0 maintance mangliawan,transportasi,,20000,"3,610,429",,,,
19-mei,14,Bi BBM N 2113 EFD km 537468 tgl 19/05/2026 ltr 2.0 maintance bumiayu,transportasi,,20000,"3,590,429",,,,
19-mei,14,Bi pembelian material tgl  19/05/2026- 10pcs spectra FTP@ 2.500,Material,,25000,"3,565,429",,,,
19-mei,14,Bi pembelian material tgl  19/05/2026- 1pcs rj45 hs airpo tembus @ 38.000,Material,,38000,"3,527,429",,,,
20-mei,15,Bi pembelian material tgl  20/05/2026- 1pcs pylox  @ 50.000,Material,,50000,"3,477,429",,,,
20-mei,15,Bi pembelian material tgl  20/05/2026- 1pcs obat nyamuk@ 19.000,Material,,19000,"3,458,429",,,,
20-mei,15,Bi pembelian material tgl  20/05/2026- 4m nyhy@ 7.000,Material,,28000,"3,430,429",,,,
20-mei,15,Bi pembelian material tgl  20/05/2026- 1pcs steker arde @ 14.000,Material,,14000,"3,416,429",,,,
20-mei,15,Bi pembelian material tgl  20/05/2026- 1pcs s/c lbg @ 29.000,Material,,29000,"3,387,429",,,,
20-mei,15,Bi untuk pembayaran ongkir rak server tgl 20/05/2026,ongkir,,37000,"3,350,429",,,,
20-mei,15,Bi untuk perawatan  kendaraan service deck pintu L l 1793 ACP tgl 20/05/2026,perawatan kendaraan ,,50000,"3,300,429",,,,
20-mei,15,Bi untuk konsumsi team rafli gadang tgl 20/05/2026,sangu,,50000,"3,250,429",,,,
20-mei,15,Bi untuk konsumsi team ridwan gadang tgl 20/05/2026,sangu,,50000,"3,200,429",,,,
20-mei,15,Bi BBM N 2113 EFD km 406372 tgl 16/05/2026 ltr 2.0 maintance gadang                  ,transportasi,,20000,"3,180,429",,,,
20-mei,15,Bi BBM L 1793 ACP  tgl 19/05/2026 ltr 5.0 ,transportasi,,50000,"3,130,429",,,,
20-mei,15,Bi BBM L 1793 ACP  tgl 20/05/2026 ltr 20.0 ,transportasi,,200000,"2,930,429",,,,
20-mei,15,"Bi BBM N 6840 GE km 56238 tgl 20/05/2026 ltr 2.0 maintance arjosari, rest area",transportasi,,20000,"2,910,429",,,,
20-mei,15,Bi BBM N 2110 tgl 20/05/2026 ltr 1.5 pembangunan gadang,transportasi,,15000,"2,895,429",,,,
20-mei,15,Bi BBM N 2113 EFD km 538556 tgl 20/05/2026 ltr 1.0 maintance gadang                  ,transportasi,,10000,"2,885,429",,,,
20-mei,15,"Bi BBM N 2114 EFD km 60536 tgl 20/05/2026 ltr 1.0 maintance kunci,lawang           ",transportasi,,10000,"2,875,429",,,,
20-mei,15,Bi pembelian ATK tgl 20/05/2026- 9pcs sticker vynil @ 8.500,ATK,,79000,"2,796,429",,,,
21-mei,16,dana Masuk Operasional,dana masuk,2000000,,"4,796,429",,,,
21-mei,16,Bi BBM N 3346 ABF km 714887 tgl 07/05/2026 ltr 1.5 maintance duta,transportasi,,15000,"4,781,429",,,,
21-mei,16,Bi BBM N 3346 ABF km 715907 tgl 13/05/2026 ltr 1.5 maintance gadang,transportasi,,15000,"4,766,429",,,,
21-mei,16,Bi BBM N 3346 ABF km 717520 tgl 14/05/2026 ltr 2.0 maintance  gadang,transportasi,,20000,"4,746,429",,,,
21-mei,16,Bi BBM N 2760 ABO km 47851  tgl 20/05/2026 ltr 2.0 maintance mangliawan,transportasi,,20000,"4,726,429",,,,
21-mei,16,Bi BBM N 2109 EFD km 504801 tgl 21/05/2026 ltr 2.0 maintance karang kunci                 ,transportasi,,20000,"4,706,429",,,,
21-mei,16,Bi BBM N 5810 VAB km 521 tgl 21/05/2026 ltr 2.5 mangliawan            ,transportasi,,25000,"4,681,429",,,,
21-mei,16,Bi BBM N 4976 FW tgl 21/05/2026 ltr 1.5 gadang        ,transportasi,,15000,"4,666,429",,,,
21-mei,16,Bi pembelian material tgl  21/05/2026- 2pcs alkes @ 30.000,Material,,60000,"4,606,429",,,,
21-mei,16,Bi pembelian material tgl  21/05/2026- 2pcs spliter PLC 1:2 @ 40.000,Material,,80000,"4,526,429",,,,
21-mei,16,Bi pembelian material tgl  21/05/2026- 1pcs  klem paku @ 5.000,Material,,5000,"4,521,429",,,,
21-mei,16,Bi untuk perawatan  kendaraan service N 2114 EFD tgl 21/05/2026,perawatan kendaraan ,,195000,"4,326,429",,,,
21-mei,16,Bi untuk konsumsi maintance sentul tgl 16/05/2026,konsumsi,,10000,"4,316,429",,,,
21-mei,16,Bi untuk konsumsi lembur team teknisi dan NOC tgl 20/05/2026,konsumsi,,100000,"4,216,429",,,,
21-mei,16,Bi konsumsi tarik feeder team rafli gadang tgl 21/05/2026,sangu,,50000,"4,166,429",,,,
21-mei,16,Bi konsumsipsb team dafa mangliawan tgl 21/05/2026,sangu,,50000,"4,116,429",,,,
21-mei,16,Bi pembelian ATK tgl 21/05/2026- 8pcs sticker vynil @ 8.500,ATK,,70000,"4,046,429",,,,
21-mei,16,Bi untuk pembelian listrik server randuagung idpel 5130010486945 tgl 20/05/2026,Listrik Server,,"205,000","3,841,429",,,,
22-mei,17,dana Masuk Operasional,dana masuk,3000000,,"6,841,429",,,,
22-mei,17,Bi BBM N 2760 ABO km 44786 tgl 12/05/2026 ltr 2.0 ,transportasi,,20000,"6,821,429",,,,
22-mei,17,"Bi BBM N 6840 GE km 263731 tgl 21/05/2026 ltr 2.5 maintance rest area,mangliawan,arjosari",transportasi,,25000,"6,796,429",,,,
22-mei,17,Bi BBM P 2616 UC tgl 22/05/2026 ltr 1.0 lawang      ,transportasi,,10000,"6,786,429",,,,
22-mei,17,Bi BBM P 2616 UC tgl 22/05/2026 ltr 1.0 karangkunci   ,transportasi,,10000,"6,776,429",,,,
22-mei,17,Bi BBM P 2616 UC tgl 22/05/2026 ltr 1.5 karangkunci      ,transportasi,,15000,"6,761,429",,,,
22-mei,17,Bi BBM N 2110 km 456147 tgl 22/05/2026 ltr 1.0 odp karangkunci,transportasi,,10000,"6,751,429",,,,
22-mei,17,"Bi BBM N 4064 EDL  tgl 22/05/2026 ltr 2.0  karangkunci,singosari",transportasi,,20000,"6,731,429",,,,
22-mei,17,Bi untuk konsumsi kantor tgl 22/05/2026,konsumsi kantor,,140000,"6,591,429",,,,
22-mei,17,Bi konsumsi tarik kabel team rafli gadang tgl 22/05/2026,sangu,,50000,"6,541,429",,,,
22-mei,17,Bi untuk pembelian rumah tangga tgl 22/05/2026- 9pcs oxy   @ 12.000,Rumah Tangga,,108000,"6,433,429",,,,
22-mei,17,Bi untuk pembelian rumah tangga tgl 22/05/2026- 1lsn sendok stanles  @ 13.000,Rumah Tangga,,13000,"6,420,429",,,,
22-mei,17,Bi untuk pembelian rumah tangga tgl 22/05/2026- 1pack sendok plastik  @ 18.000,Rumah Tangga,,18000,"6,402,429",,,,
22-mei,17,Bi untuk pembelian rumah tangga tgl 22/05/2026- 1pcs idm ktg plstik @ 500,Rumah Tangga,,500,"6,401,929",,,,
22-mei,17,Bi untuk pembelian rumah tangga tgl 22/05/2026- 1pcs snlight lime @ 15.000,Rumah Tangga,,15000,"6,386,929",,,,
22-mei,17,Bi untuk pembelian rumah tangga tgl 22/05/2026- 1pcs so klin p/l @ 13.400,Rumah Tangga,,13400,"6,373,529",,,,
22-mei,17,Bi untuk pembelian rumah tangga tgl 22/05/2026- 2pcs lwk kopi @ 10.500,Rumah Tangga,,21000,"6,352,529",,,,
22-mei,17,Bi untuk pembelian rumah tangga tgl 22/05/2026- 1pcs neo/c tramsu @10.800,Rumah Tangga,,10800,"6,341,729",,,,
22-mei,17,Bi untuk pembelian rumah tangga tgl 22/05/2026- 1pcs neo/c mchno @10.900,Rumah Tangga,,10900,"6,330,829",,,,
22-mei,17,Bi untuk pembelian rumah tangga tgl 22/05/2026- 1pcs neo/c crml.mc @ 10.800,Rumah Tangga,,10800,"6,320,029",,,,
22-mei,17,Bi untuk pembelian rumah tangga tgl 22/05/2026- 1pcs t/c kpi @ 11.500,Rumah Tangga,,11500,"6,308,529",,,,
22-mei,17,diskon pembelian ,diskon,,-12000,"6,320,529",,,,
22-mei,17,Bi untuk pembayaran tagihan FIF no. 851000268123 angsr ke-30 tgl 22/04/2026,Cicilan Motor,,780000,"5,540,529",,,,
22-mei,17,Bi pembelian ATK tgl 22/05/2026- 1pcs materai digital @ 13.500,ATK,,13500,"5,527,029",,,,
22-mei,17,Bi pembelian ATK tgl 22/05/2026- 1pcs materai digital @ 13.500,ATK,,13500,"5,513,529",,,,
22-mei,17,Bi pembelian ATK tgl 22/05/2026- 6pcs label tape@ 31.000,ATK,,167000,"5,346,529",,,,
22-mei,17,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 22/05/2026,Listrik Kantor,,205000,"5,141,529",,,,
22-mei,17,Bi untuk pembelian listrik server randuagung idpel 5130010486945 tgl 22/05/2026,Listrik Server,,205000,"4,936,529",,,,
22-mei,17,Bi konsumsi lembur malam team tgl 22/05/2026,konsumsi,,50000,"4,886,529",,,,
23-mei,18,Bi untuk konsumsi kantor tgl 23/05/2026,konsumsi kantor,,100000,"4,786,529",,,,
23-mei,18,Bi konsumsi lembur malam team tgl 23/05/2026,konsumsi,,40000,"4,746,529",,,,
23-mei,18,Bi BBM N 3346 ABF km 718276 tgl 16/05/2026 ltr 2.0 maintance  gadang,transportasi,,20000,"4,726,529",,,,
23-mei,18,Bi BBM N 3346 ABF km 719516 tgl 19/05/2026 ltr 2.5 maintance  gadang,transportasi,,25000,"4,701,529",,,,
23-mei,18,"Bi BBM N 6840 GE km 362721 tgl 22/05/2026 ltr 2.5 maintance mangliawan,gadang",transportasi,,25000,"4,676,529",,,,
23-mei,18,Bi BBM N 2114 km 413591 tgl 22/05/2026 ltr 2.5 maintance mangliawan gadang ,transportasi,,25000,"4,651,529",,,,
23-mei,18,Bi BBM L 1793 ACP  tgl 23/05/2026 ltr 10.0 ,transportasi,,100000,"4,551,529",,,,
23-mei,18,"Bi BBM N 2760 ABO km 54887  tgl 23/05/2026 ltr 3.0 maintance karangploso,arjosari,gadang",transportasi,,30000,"4,521,529",,,,
23-mei,18,Bi BBM N 2110 km 567646 tgl 23/05/2026 ltr 1.0 ,transportasi,,10000,"4,511,529",,,,
23-mei,18,"Bi BBM N 2668 GM km 401598 tgl 23/05/2026 ltr 2.0 maintance comboran,gadang",transportasi,,20000,"4,491,529",,,,
23-mei,18,Bi pembelian material tgl  23/05/2026- 1pcs baterai @ 12.000,Material,,12000,"4,479,529",,,,
23-mei,18,Bi pembelian material tgl  23/05/2026- 1pcs splitter PLC 1:2 @ 30.000,Material,,30000,"4,449,529",,,,
23-mei,18,Bi untuk pembayaran tagihan FIF no. 851000265523 angsr ke-30 tgl 23/04/2026,Cicilan Motor,,784000,"3,665,529",,,,
25-mei,19,dana Masuk Operasional,dana masuk ,277000,,"3,942,529",,,,
25-mei,19,dana Masuk Operasional,dana masuk ,3000000,,"6,942,529",,,,
25-mei,19,Bi BBM L 1793 ACP  tgl 24/05/2026 ltr 20.0 ,transportasi,,200000,"6,742,529",,,,
25-mei,19,Bi untuk transportasi mangliawan 3 team tgl 24/05/2026,transportasi,,60000,"6,682,529",,,,
25-mei,19,Bi konsumsi operasional bisnis mangliawan tgl 24/05/2026,perjalanan bisnis,,38700,"6,643,829",,,,
25-mei,19,"Bi BBM N 6840 GE km 8867324 tgl 25/05/2026 ltr 1.5 maintance karangkunci,bedali",transportasi,,15000,"6,628,829",,,,
25-mei,19,Bi BBM N 2109 km 507071 tgl 25/05/2026 ltr 1.5,transportasi,,15000,"6,613,829",,,,
25-mei,19,Bi BBM N 2464  km 22474 tgl 25/05/2026 ltr 2.5 maintance gadang,transportasi,,25000,"6,588,829",,,,
25-mei,19,Bi BBM N 2668 GM  km 401688 tgl 25/05/2026 ltr 2.7 maintance arjosari,transportasi,,23000,"6,565,829",,,,
25-mei,19,Bi untuk transportasi team audit persada tgl 25/05/2026,transportasi,,45000,"6,520,829",,,,
25-mei,19,Bi untuk pengembalian dana operasional bu dida tgl 25/05/2026,lain-lain,,230000,"6,290,829",,,,
25-mei,19,Bi untuk konsumsi kantor tgl 25/05/2026,konsumsi kantor,,100000,"6,190,829",,,,
25-mei,19,Bi untuk konsumsi team persada tgl 25/05/2026,konsumsi,,65100,"6,125,729",,,,
25-mei,19,Bi untuk konsumsi team malam lembur tgl 25/05/2026,konsumsi,,50000,"6,075,729",,,,
25-mei,19,Bi untuk pembayaran tagihan FIF no. 851000267723 angsr ke-30 tgl 25/04/2026,Cicilan Motor,,792000,"5,283,729",,,,
25-mei,19,Bi pembelian material tgl  24/05/2026- 2pcs solasi @ 10.000,Material,,20000,"5,263,729",,,,
25-mei,19,Bi pembelian material tgl  24/05/2026- 10pcs tier 100 @ 4.500,Material,,45000,"5,218,729",,,,
25-mei,19,Bi pembelian material tgl  24/05/2026- 10pcs tier 200 @ 13.000,Material,,130000,"5,088,729",,,,
25-mei,19,Bi pembelian material tgl  24/05/2026- 10pcs tier 300 @ 21.000,Material,,210000,"4,878,729",,,,
25-mei,19,Bi pembelian material tgl  24/05/2026- 20pcs solasi nasional @ 7.500,Material,,150000,"4,728,729",,,,
25-mei,19,Bi pembelian material tgl  24/05/2026- 5pcs over steker @ 5.000,Material,,25000,"4,703,729",,,,
25-mei,19,Bi pembelian material tgl  24/05/2026- 10pcs klem @ 6.500,Material,,65000,"4,638,729",,,,
25-mei,19,Bi pembelian material tgl  24/05/2026- 1pcs baigon @ 35.000,Material,,35000,"4,603,729",,,,
25-mei,19,Bi untuk pembelian rumah tangga tgl 25/05/2026- 6pcs jajan mawar @ 2.000,Rumah Tangga,,12000,"4,591,729",,,,
25-mei,19,Bi untuk pembelian rumah tangga tgl 25/05/2026- 1pcs kripik  @ 15.000,Rumah Tangga,,15000,"4,576,729",,,,
25-mei,19,Bi untuk pembelian rumah tangga tgl 25/05/2026- 1pcs cleo  @ 22.000,Rumah Tangga,,22000,"4,554,729",,,,
25-mei,19,Bi untuk pembelian rumah tangga tgl 25/05/2026- 3pcs cleo  @ 21.000,Rumah Tangga,,61000,"4,493,729",,,,
25-mei,19,Bi untuk bingkisan takbir keliling tgl 25/05/2026,lain-lain,,418780,"4,074,949",,,,
25-mei,19,Bi pembelian ATK tgl 25/05/2026- 30pcs HVS @ 500,ATK,,15000,"4,059,949",,,,
26-mei,20,dana Masuk Operasional,dana masuk,3000000,,"7,059,949",,,,
26-mei,20,Bi BBM P 2616 UC km 8316 tgl 22/05/2026 ltr 1.0 maintance karangkunci,transportasi,,10000,"7,049,949",,,,
26-mei,20,Bi BBM N 2109 km 211156 tgl 25/05/2026 ltr 1.0 maintance randuagung,transportasi,,10000,"7,039,949",,,,
26-mei,20,Bi BBM M 3024 BO km 83829 tgl 25/05/2026 ltr 2.0 ,transportasi,,20000,"7,019,949",,,,
26-mei,20,Bi BBM N 3346 ABF km 720589 tgl 26/05/2026 ltr 2.0 maintance mangliawan,transportasi,,20000,"6,999,949",,,,
26-mei,20,"Bi BBM M 5687 CP km 502558 tgl 26/05/2026 ltr 1.5 pembangunan yonkav,randugembolo,kunci",transportasi,,15000,"6,984,949",,,,
26-mei,20,"Bi BBM N 2114 km 7326721 tgl 26/05/2026 ltr 1.5 maintance randuagung,karang kunci",transportasi,,15000,"6,969,949",,,,
26-mei,20,Bi untuk konsumsi kantor tgl 26/05/2026,konsumsi kantor,,150000,"6,819,949",,,,
26-mei,20,Bi untuk pembayaran tagihan FIF no. 851000267823 angsr ke-30 tgl 26/04/2026,Cicilan Motor,,796000,"6,023,949",,,,
26-mei,20,Bi untuk bumbu qurban tgl 26/05/2026,lain-lain,,500000,"5,523,949",,,,
26-mei,20,Bi untuk pembayaran kurangan fee team unsur tgl 26/05/2026,lain-lain,,120000,"5,403,949",,,,
26-mei,20,Bi untuk pembayaran pulsa no.Cs 085804041950 tgl 26/05/2026,pulsa,,35000,"5,368,949",,,,
26-mei,20,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 26/05/2026,Listrik Kantor,,203500,"5,165,449",,,,
26-mei,20,Bi pembelian material tgl  25/05/2026- 1pcs baigon @ 35.000,Material,,35000,"5,130,449",,,,
26-mei,20,Bi pembelian material tgl  25/05/2026- 1pcs hit lily @ 19.200,Material,,19200,"5,111,249",,,,
26-mei,20,diskon pembelian ,diskon,,-600,"5,111,849",,,,
26-mei,20,Bi untuk pembelian listrik server lawang idpel 513010031061 tgl 22/04/2026              ,Listrik server lawang,,200000,"4,911,849",,,,
26-mei,20,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 22/05/2026,Listrik Kantor,,22000,"4,889,849",,,,
28-mei,21,"Bi BBM N 6840 GE km 7362831 tgl 28/05/2026 ltr 2.0 maintance randuagung, suko,garuda",transportasi,,20000,"4,869,849",,,,
28-mei,21,Bi untuk operasional qurban tgl 28/04/2026,qurban,,1100000,"3,769,849",,,,
28-mei,21,Bi untuk pembayaran tagihan FIF no. 851000265423 angsr ke-30 tgl 28/04/2026,Cicilan Motor,,803000,"2,966,849",,,,
29-mei,22,dana operasional masuk,dana masuk,2500000,,"5,466,849",,,,
29-mei,22,Bi pembelian material tgl  28/05/2026- memory card rw9 @ 362.388,Material,,362388,"5,104,461",,,,
29-mei,22,Bi pembelian material tgl  29/05/2026- 1pcs hit lily @ 19.200,Material,,19200,"5,085,261",,,,
29-mei,22,diskon pembelian,diskon,,-600,"5,085,861",,,,
29-mei,22,Bi pembelian material tgl  29/05/2026- 1pcs hit lily @ 19.200,Material,,19200,"5,066,661",,,,
29-mei,22,diskon pembelian,diskon,,-600,"5,067,261",,,,
29-mei,22,"Bi BBM N 3457 ABF km 536462 tgl 29/05/2026 ltr 2.0 singosari,lawang",transportasi,,20000,"5,047,261",,,,
29-mei,22,Bi parkir N 4976 FW Bank Mandiri Singosari tgl 04/05/2026,transportasi,,"2,000","5,045,261",,,,
29-mei,22,"Bi untuk transportasi pak bara 19,22,29 tgl 29/05/2026",transportasi,,"60,000","4,985,261",,,,
29-mei,22,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 28/05/2026,Listrik Kantor,,203000,"4,782,261",,,,
29-mei,22,Bi operasional rapat dengan kepala desa klampok tgl 29/05/2026,perjalanan bisnis,,150000,"4,632,261",,,,
