,,,,,,
,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,
Periode 01-30 Juni 2026,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo
,,,, Penerimaan , Pengeluaran ,
,,Bi untuk pembelian rumah tangga tgl 09/05/2026- 1pcs tali rafiah @ 7.000,Rumah Tangga,,"7,000","-297,035"
,,Bi untuk pembelian rumah tangga tgl 09/05/2026- 1pcs eknm srhjrk @ 9.900,Rumah Tangga,,"9,900","-306,935"
,,Bi untuk pembelian rumah tangga tgl 09/05/2026- 1pcs pikopi mix @ 12.200,Rumah Tangga,,"12,200","-319,135"
,,Bi untuk pembelian rumah tangga tgl 09/05/2026- 1pcs luwak mrn @ 10.500,Rumah Tangga,,"10,500","-329,635"
,,Bi untuk pembelian rumah tangga tgl 09/05/2026- 1pcs kp branding @ 500,Rumah Tangga,,500,"-330,135"
,,diskon pembelian,diskon,5700,,"-324,435"
,,Bi untuk konsumsi maintance mangliawan tgl 09/06/2026,konsumsi,,"5,000","-329,435"
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 09/06/2026,Listrik Kantor,,"203,500","-532,935"
,,Bi untuk pembelian listrik server randuagung idpel 5130010486945 tgl 09/06/2026,Listrik Server,,"203,500","-736,435"
,,Bi untuk operasional pak bara tgl 09/06/2026,lain-lain,,"46,000","-782,435"
10-juni,8,dana masuk operasional,dana masuk,2000000,,"1,217,565"
,,dana masuk operasional,dana masuk,1500000,,"2,717,565"
,,Bi untuk konsumsi kantor tgl 10/06/2026,konsumsi kantor,,"87,500","2,630,065"
,,Bi BBM M 3024 km 8550 tgl 30/05/2026 ltr 2.0 audit randuagung,transportasi,,"20,000","2,610,065"
,,Bi BBM N 4235 FM tgl 10/06/2026 ltr 1.5 singosari,transportasi,,"15,000","2,595,065"
,,Bi BBM N 3457 km 543124 tgl 10/06/2026 ltr 1.5 maintance srigading,transportasi,,"15,000","2,580,065"
,,Bi BBM N 3346 ABF km 725142 tgl 10/06/2026 ltr 2.0 maintance gadang,transportasi,,"20,000","2,560,065"
,,Bi BBM N 2110  km 678476 tgl 10/06/2026 ltr 1.0 maintance mangliawan,transportasi,,"10,000","2,550,065"
,,Bi BBM L 1793 ACP  tgl 09/06/2026 ltr 10.0 ,transportasi,,"100,000","2,450,065"
,,Bi pembelian material tgl  08/06/2026- 1pcs adaptor @ 15.000,Material,,"15,000","2,435,065"
,,Bi pembelian material tgl  10/06/2026- 1pcs bardi smart plug wifi @ 215.000,Material,,"215,000","2,220,065"
,,Bi pembelian material tgl  10/06/2026- 2pcs baterai @ 3.000,Material,,"6,000","2,214,065"
,,Bi untuk amplop pak rt dan rw bedali tgl 10/06/2026,amplop,,"300,000","1,914,065"
,,Bi untuk perawatan service  janset tgl 10/06/2026,perawatan alat,,"150,000","1,764,065"
11-juni,9,dana masuk operasional,dana masuk,600000,,"2,364,065"
,,dana masuk operasional,dana masuk,4000000,,"6,364,065"
,,"Bi BBM N 3346 ABF km 725583 tgl 10/06/2026 ltr 1.5 maintance bedali ,srigading",transportasi,,"15,000","6,349,065"
,,Bi BBM M 3024 km 8705 tgl 10/06/2026 ltr 2.5 mangliawan,transportasi,,"25,000","6,324,065"
,,"Bi BBM N 2113 EFD km 4213211 tgl 10/06/2026 ltr 2.0 maintance srigading,lawang,songsong,kunci",transportasi,,"20,000","6,304,065"
,,"Bi BBM N 6840 GE km 3623723 tgl 11/06/2026 ltr 2.5 maintance srigading,lawang,songsong,",transportasi,,"25,000","6,279,065"
,,Bi BBM N 4235 FM tgl 11/06/2026 ltr 1.5 singosari,transportasi,,"15,000","6,264,065"
,,Bi parkir N 4064 EDL Bank Mandiri Singosari tgl 11/06/2026,transportasi,,"2,000","6,262,065"
,,Bi untuk pembayaran fee sales pemasangan baru (baim) tgl 11/06/2026,fee sales,,"50,000","6,212,065"
,,Bi pembelian material tgl  11/06/2026- cctv @ 1.205.000,Material,,"1,205,000","5,007,065"
,,Bi pembelian material tgl  11/06/2026- 2pcs modem gm220+adaptor @ 90.000,Material,,"180,000","4,827,065"
,,Bi pembelian material tgl  11/06/2026- 4pcs adaptor 5v @ 15.000,Material,,"60,000","4,767,065"
,,Bi pembelian material tgl  11/06/2026- 1pcs HIT LILY @ 37.900,Material,,"37,900","4,729,165"
,,diskon pembelian,diskon,1000,,"4,730,165"
,,Bi untuk konsumsi kantor tgl 11/06/2026,konsumsi kantor,,"112,500","4,617,665"
,,Bi untuk sangu pembangunan tim dafa bedali tgl 11/06/2026,sangu,,"50,000","4,567,665"
,,Bi untuk operasional meeting pak budi tgl 11/06/2026,perjalanan bisnis,,"200,000","4,367,665"
12-juni,10,Bi pembelian material tgl  12/06/2026- 1pcs HIT LILY @ 19.200,Material,,"19,200","4,348,465"
,,diskon pembelian,diskon,1000,,"4,349,465"
,,Bi pembelian material tgl  12/06/2026- 2pcs klem paku no.6@ 5.000,Material,,"10,000","4,339,465"
,,Bi pembelian material tgl  12/06/2026- 2pcs klem paku no.8 @ 7.500,Material,,"15,000","4,324,465"
,,Bi pembelian material tgl  12/06/2026- 2pcs rj 45 @ 40.000,Material,,80000,"4,244,465"
,,Bi pembelian material tgl  12/06/2026- 1pcs htb eterlink @ 90.000,Material,,"90,000","4,154,465"
,,Bi pembelian material tgl  12/06/2026- 10pcs solasi @ 7.500,Material,,"75,000","4,079,465"
,,Bi untuk konsumsi kantor tgl 12/06/2026,konsumsi kantor,,"95,000","3,984,465"
,,Bi pembelian ATK tgl 12/06/2026- 3rim natural A4  @ 38.500,ATK,,"77,000","3,907,465"
,,Bi pembelian ATK tgl 12/06/2026- 1pcs cutter @ 3.700,ATK,,"3,700","3,903,765"
,,diskon pembelian,diskon,1600,,"3,905,365"
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 12/06/2026,Listrik Kantor,,"203,500","3,701,865"
,,Bi BBM N 2668 GM km501949 tgl 11/06/2026 ltr 1.5 maintance randuagung,transportasi,,"15,000","3,686,865"
,,"Bi BBM N 6840 GE km 826362 tgl 12/06/2026 ltr 2.0 maintance bedali,randutelu,garuda",transportasi,,"20,000","3,666,865"
,,Bi BBM N 2110  km 465043 tgl 12/06/2026 ltr 1.0 ,transportasi,,"10,000","3,656,865"
,,Bi BBM N 2109  km 516515 tgl 12/06/2026 ltr 2.0,transportasi,,"20,000","3,636,865"
,,Bi BBM N 2113 km 648734 tgl 12/06/2026 ltr 2.0 maintance mangliawan,transportasi,,"20,000","3,616,865"
,,"Bi BBM N 3346 ABF km 727115 tgl 12/06/2026 ltr 2.0 maintance,songsong,kunci,srigading",transportasi,,"20,000","3,596,865"
,,Bi BBM N 3281 GG km0 tgl 12/06/2026 ltr 2.0 maintance blimbing,transportasi,,"20,000","3,576,865"
,,"Bi BBM N 2668 GM km501949 tgl 12/06/2026 ltr 1.2 maintance kunci,setran, ",transportasi,,"20,000","3,556,865"
,,Bi BBM N 4235 FM tgl 12/06/2026 ltr 1.5 singosari,transportasi,,"15,000","3,541,865"
13-juni,11,"Bi BBM N 3346 ABF km 727115 tgl 13/06/2026 ltr 2.0 maintance,srigading                            ",transportasi,,"20,000","3,521,865"
,,Bi untuk transportasi pak bara tgl 13/06/2026,transportasi,,"20,000","3,501,865"
,,Bi untuk konsumsi kantor tgl 13/06/2026,konsumsi kantor,,"150,000","3,351,865"
,,Bi untuk operasional meeting PGS surabaya tgl 05/06/2026,perjalanan bisnis,,"387,000","2,964,865"
,,Bi untuk pembelian rumah tangga tgl 13/05/2026- 1pcs scrln payung @ 65.900,Rumah Tangga,,"65,900","2,898,965"
,,Bi pembelian material tgl  13/06/2026- 4pcs adapto 5v @ 15.000,Material,,"60,000","2,838,965"
15-juni,12,Bi BBM N 2110  km 466998 tgl 14/06/2026 ltr 2.0  maintance pujon,transportasi,,"20,000","2,818,965"
,,"Bi BBM W 6853 ZN tgl 15/06/2026 ltr 1.5 lawang,singosari",transportasi,,"15,000","2,803,965"
,,Bi untuk transportasi tim teknisi tgl 14/06/2026,transportasi,,"40,000","2,763,965"
,,Bi untik pembelian bensin janset tgl 15/06/2026,Material,,"18,000","2,745,965"
,,Bi untuk pembelian pulsa no NOC adimas 081331615537 tgl 15/06/2026,pulsa,,"50,000","2,695,965"
,,Bi untuk fee psb pelanggan baru tgl 15/06/2026,fee,,"25,000","2,670,965"
,,Bi untuk konsumsi maintance bobocabin pujon tgl 14/06/2026,konsumsi,,"30,000","2,640,965"
,,Bi untuk konsumsi kantor tgl 14/06/2026,konsumsi kantor,,"50,000","2,590,965"
,,Bi untuk konsumsi tamu tgl 15/06/2026,konsumsi tamu,,"66,000","2,524,965"
,,Bi untuk pembelian rumah tangga tgl 15/05/2026- 1pack cleo @ 24.000,Rumah Tangga,,"24,000","2,500,965"
17-juni,13,dana masuk operasional,dana masuk,700000,,"3,200,965"
,,Bi untuk fee psb pelanggan baru tgl 17/06/2026,fee,,"25,000","3,175,965"
,,Bi untuk fee psb  CSR 3 sekolahan tgl 17/06/2026,fee,,"75,000","3,100,965"
,,Bi untuk perawatan  kendaraan service N 3346 ABF tgl 16/06/2026,perawatan kendaraan ,,"180,000","2,920,965"
,,Bi BBM N 4235 FM tgl 15/06/2026 ltr 1.5 singosari,transportasi,,"15,000","2,905,965"
,,Bi untuk transportasi pak bara tgl 17/06/2026,transportasi,,"20,000","2,885,965"
,,Bi BBM L 1793 ACP  tgl 16/06/2026 ltr 10.0 ,transportasi,,"100,000","2,785,965"
,,Bi parkir N 2113 EFD Bank Mandiri Singosari tgl 17/06/2026,transportasi,,"2,000","2,783,965"
,,Bi untuk konsumsi kantor tgl 16/06/2026,konsumsi kantor,,"50,000","2,733,965"
,,Bi untuk konsumsi kantor tgl 17/06/2026,konsumsi kantor,,"100,000","2,633,965"
,,Bi untuk pembelian listrik server randuagung idpel 5130010486945 tgl 17/06/2026,Listrik Server,,"504,500","2,129,465"
,,Bi untuk pengiriman berkas ke PT. Alita Praya Mitra Jakarta tgl 17/06/2026,ongkir,,"12,900","2,116,565"
18-juni,14,dana masuk operasional,dana masuk,1500000,,"3,616,565"
,,Bi BBM N 2110  km 465776  tgl 12/06/2026 ltr 1.5  repair odp odc purwodadi,transportasi,,"15,000","3,601,565"
,,Bi BBM N 2114  km 6478910  tgl 13/06/2026 ltr 1.5  maintance martopuro,transportasi,,"15,000","3,586,565"
,,"Bi BBM N 2114  km 8267623  tgl 15/06/2026 ltr 1.5  maintance arjosari, srigading",transportasi,,"15,000","3,571,565"
,,Bi BBM N 2114  km 443723  tgl 15/06/2026 ltr 2.0  ,transportasi,,"20,000","3,551,565"
,,Bi BBM N 2114  km 344776  tgl 15/06/2026 ltr 1.0,transportasi,,"10,000","3,541,565"
,,Bi BBM N 2109  km 843921 tgl 14/06/2026 ltr 2.0  ,transportasi,,"20,000","3,521,565"
,,Bi BBM N 2668 GM km 502972  tgl 15/06/2026 ltr 1.2 maintance gadang,transportasi,,"20,000","3,501,565"
,,Bi BBM N 2113 km 647484 tgl 16/06/2026 ltr 4.0,transportasi,,"40,000","3,461,565"
,,"Bi BBM N 2114  km 427079 tgl 17/06/2026 ltr 2.0  maintance blimbingg ,martopuro",transportasi,,"20,000","3,441,565"
,,Bi BBM N 3346 ABF km 729245 tgl 17/06/2026 ltr 2.0 maintance purwodadi                 ,transportasi,,"20,000","3,421,565"
,,Bi parkir N 2114 EFD Bank Mandiri Singosari tgl 18/06/2026,transportasi,,"2,000","3,419,565"
,,Bi BBM N 4235 FM tgl 18/06/2026 ltr 1.5 singosari,transportasi,,"15,000","3,404,565"
,,Bi pembelian material tgl  13/06/2026- 1pcs modem +adapto @ 135.000,Material,,"135,000","3,269,565"
,,Bi pembelian material tgl  15/06/2026- 1pcs modem GM220 +adapto @ 90.000,Material,,"90,000","3,179,565"
,,Bi pembelian material tgl  18/06/2026- 1pcs eterlink a-b @ 95.000,Material,,"95,000","3,084,565"
,,Bi untuk pengiriman material ke krian tgl 13/06/2026,ongkir,,"18,000","3,066,565"
,,Bi untuk amplop pihak PLN tgl 17/06/2026,amplop,,"200,000","2,866,565"
,,Bi untuk pengiriman berkas ke PT. Alita Praya Mitra Jakarta tgl 18/06/2026,ongkir,,"12,900","2,853,665"
,,Bi untuk konsumsi tamu kuasa tgl 18/06/2026,konsumsi,,"25,000","2,828,665"
19-juni,15,dana masuk operasional,dana masuk,2000000,,"4,828,665"
,,Bi untuk fee psb pelanggan baru tgl 19/06/2026,fee,,"25,000","4,803,665"
,,Bi BBM N 2668 GM km 502956  tgl 16/06/2026 ltr 2.5 maintance gadang,transportasi,,"25,000","4,778,665"
,,"Bi BBM N 2668 GM km 502946 tgl 17/06/2026 ltr 2.0 maintance rest area, gadang",transportasi,,"20,000","4,758,665"
,,Bi BBM N 2109 km 844102  tgl 17/06/2026 ltr 1.5 ,transportasi,,"15,000","4,743,665"
,,"Bi BBM N 6840 GE km 88673623 tgl 18/06/2026 ltr 2.0 maintance srigading, gondang,garuda",transportasi,,"20,000","4,723,665"
,,Bi BBM N 2114 km 520368 tgl 16/06/2026 ltr 1.5 maintance srigading,transportasi,,"15,000","4,708,665"
,,"Bi BBM N 3457 ABF km 546902 tgl 19/06/2026 ltr 1.0 lawang ,singosari            ",transportasi,,"10,000","4,698,665"
,,Bi parkir N 2114 EFD Bank Mandiri Singosari tgl 19/06/2026,transportasi,,"2,000","4,696,665"
,,Bi untuk bensin janset tgl 19/06/2026,Material,,"36,000","4,660,665"
,,Bi pembelian material tgl  08/06/2026- 10pcs modem gm220 +adaptor @ 90.000,Material,,900000,"3,760,665"
,,diskon pembelian,diskon,25000,,"3,785,665"
,,Bi pembelian material tgl  19/06/2026- 1pcs netlink gigabyte @ 135.000,Material,,135000,"3,650,665"
,,Bi pembelian material tgl  19/06/2026- 1pcs xpon f609 postel+adaptor @ 170.000,Material,,170000,"3,480,665"
,,Bi pembelian material tgl  19/06/2026- 7pcs nasional@ 7.000,Material,,49000,"3,431,665"
,,Bi pembelian material tgl  19/06/2026- 2pcs klem no .6 @ 5.000,Material,,10000,"3,421,665"
,,Bi pembelian material tgl  19/06/2026- 2pcs klem no.7 @ 6.000,Material,,12000,"3,409,665"
,,Bi pembelian material tgl  19/06/2026- 2pcs klem no.8 @ 7.000,Material,,14000,"3,395,665"
,,Bi pembelian material tgl  19/06/2026- 3pcs kabel tis  @ 16.000,Material,,48000,"3,347,665"
,,Bi untuk konsumsi kantor tgl 19/06/2026,konsumsi kantor,,140000,"3,207,665"
20-juni,16,dana masuk operasional,dana masuk,2000000,,"5,207,665"
,,Bi untuk konsumsi kantor tgl 20/06/2026,konsumsi kantor,,"100,000","5,107,665"
,,Bi BBM N 3457 ABF km 5067243 tgl 08/06/2026 ltr 1.5          ,transportasi,,"15,000","5,092,665"
,,Bi BBM N 2109 km 746587 tgl 18/06/2026 ltr 1.0 maintance gadang ,transportasi,,"10,000","5,082,665"
,,"Bi BBM N 2114 km 428665 tgl 18/06/2026 ltr 2.0 maintance blimbing,mangliawan",transportasi,,"20,000","5,062,665"
,,"Bi BBM N 3457 ABF km 730245 tgl 18/06/2026 ltr 1.5 maintance lawang,srigading       ",transportasi,,"15,000","5,047,665"
,,Bi BBM N 6840 GE km 3386434 tgl 19/06/2026 ltr 1.5 maintance kunci,transportasi,,"15,000","5,032,665"
,,"Bi BBM N 3457 ABF km 731165 tgl 19/06/2026 ltr 1.5 maintance srigading,kalirejo",transportasi,,15000,"5,017,665"
,,Bi BBM N 2113 km 5522526 tgl 19/06/2026 ltr 1.0 psb mangliawan,transportasi,,10000,"5,007,665"
,,Bi parkir N 4064 EDL Pelangi Lawang tgl 20/06/2026,transportasi,,"2,000","5,005,665"
,,Bi untuk fee pemasangan 7 pelanggan baru tgl 20/06/2026,fee,,175000,"4,830,665"
,,Bi untuk fee sales gadang 10 pelanggan tgl 20/06/2026,fee,,500000,"4,330,665"
,,Bi untuk pembelian rumah tangga tgl 20/05/2026- 6pcs oxy@ 12.000,Rumah Tangga,,"72,000","4,258,665"
,,Bi pembelian material tgl  20/06/2026- 1pcs 2f4e pcb  @ 75.000,Material,,"75,000","4,183,665"
,,Bi pembelian material tgl  20/06/2026- 1pcs netlink gigabyte @ 135.000,Material,,135000,"4,048,665"
