 ,,,,,,,,
,,,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,
Periode 01-30 januari 2026,,,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo,,
,,,, Penerimaan , Pengeluaran ,,,
,,"Bi BBM N 2821 TEO  km 371205 tgl 19/01/2026 ltr 1.5 ke Lawang,singosari",Transportasi,,"15,000","2,087,040",,
,,Bi BBM M 5687 CP km 469899 tgl 19/01/2026 ltr 1.2 ke martopuro,Transportasi,,"15,000","2,072,040",,
,,Bi transportasi IKR Lawang tgl 19/01/2026,IKR Lawang,,"26,000","2,046,040",,
,,Bi BBM N 1195 FV ltr 15.0 meeting surabaya,perjalanan bisnis,,"150,000","1,896,040",,
,,Bi untuk pembayaran etol  6032982511875120 tgl 19/01/2026 meeting ke surabaya         ,Perjalanan Dinas,,"101,500","1,794,540",,
,,Bi untuk konsumsi perjalanan bisnis surabaya tgl 19/01/2026            ,Perjalanan Dinas,,"267,500","1,527,040",,
,,Bi pembelian material tgl 19/12/2026- 2pcs Te @ 7.000,Material,,"14,000","1,513,040",,
,,Bi untuk pembelian rumah tangga tgl 19/01/2026 - 1pcs idm f/t 2ply @ 24.500,Rumah Tangga,,"24,500","1,488,540",,
,,Bi untuk pembelian Konsumsi Kantor tgl 19/01/2026 - 16 karyawan kantor @9.000                ,Konsumsi Kantor,,"144,000","1,344,540",,
,,Bi pembayaran operasional ke batu dan badminton ke budida tgl 19/01/2026,lain-lain,,"237,000","1,107,540",,
20-Jan-26,19,Dana Masuk Operasional,dana masuk,2045000,,"3,152,540",,
,,Bi transportasi IKR Lawang tgl 20/01/2026,IKR Lawang,,"18,000","3,134,540",,
,,Bi untuk pembelian Konsumsi Kantor tgl 20/01/2026 - 16 karyawan kantor @9.000                ,Konsumsi Kantor,,"144,000","2,990,540",,
,,Bi untuk perawatan cuci kendaraan N 1195 FV tgl  20/01/2026                                       ,Perawatan Kendaraan,,50000,"2,940,540",,
,,Bi BBM N 4559 EGM km 400799 tgl 20/01/2026 ltr 1.5 maintance sentul                  ,Transportasi,,15000,"2,925,540",,
,,Bi BBM N 2109 EFD km 430969  tgl 20/01/2026 ltr 3.0 maintance martopuro                   ,Transportasi,,"30,000","2,895,540",,
21-Jan-26,20,Bi untuk pembelian listrik server sentul idpel 513010410557 tgl 21/01/2026                       ,Listrik Kantor,,"53,000","2,842,540",,
,,Bi untuk pembelian Konsumsi Kantor tgl 21/01/2026 - 19 karyawan kantor @9.000               ,Konsumsi Kantor,,"171,000","2,671,540",,
,,Bi untuk konsumsi rapat dengan pak heri surabaya tgl 21/01/2026                                         ,perjalanan bisnis,,"150,000","2,521,540",,
,,Bi BBM N 2114 EFD km 362950 tgl 21/01/2026 ltr 3.0 lawang                                                 ,Transportasi,,"30,000","2,491,540",,
,,Bi BBM N 2821 TEO km 372446 tgl 21/01/2026 ltr 2.0                                             ,Transportasi,,"20,000","2,471,540",,
,,Bi untuk pembayaran jual laptop tgl 21/01/2026                                                          ,lain-lain,,"500,000","1,971,540",,
,,Bi pembelian material tgl 21/01/2026- 1pcs  hit spay lily  @ 28.000                         ,Material,,"28,000","1,943,540",,
,,diskon pembelanjaan,diskon,,"-2,100","1,945,640",,
,,Bi BBM N 2113 EFD km 471141 tgl 21/01/2026 ltr 3.0 maintance sentul                     ,Transportasi,,"30,000","1,915,640",,
,,Bi BBM N 2110 EFD km 393384 tgl 21/01/2026 ltr 3.0 maintance blimbing                        ,Transportasi,,"30,000","1,885,640",,
22-Jan-26,21,Bi untuk pembelian rumah tangga tgl 22/01/2026 - 1pcs idm ktg plastik @ 300,Rumah Tangga,,300,"1,885,340",,
,,Bi untuk pembelian rumah tangga tgl 22/01/2026 - 1pcs mama/L jeruk @ 10.600,Rumah Tangga,,"10,600","1,874,740",,
,,Bi untuk pembelian rumah tangga tgl 22/01/2026 - 1pcs neo/cf mchno @ 10.800,Rumah Tangga,,"10,800","1,863,940",,
,,Bi untuk pembelian rumah tangga tgl 22/01/2026 - 1pcs t/c kpi ss gl.arn @ 11.400,Rumah Tangga,,11400,"1,852,540",,
,,Bi untuk pembelian rumah tangga tgl 22/01/2026 - 1pcs lwk kopi murni@ 20.400,Rumah Tangga,,20400,"1,832,140",,
,,diskon pembelanjaan,diskon,,-8800,"1,840,940",,
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 22/01/2026               ,Listrik Kantor,,"203,000","1,637,940",,
,,Bi pembelian material tgl 20/01/2026- 1pcs 2F4E PCB @ 65.000,Material,,"65,000","1,572,940",,
,,Bi pembelian material tgl 20/01/2026- 1pcs adaptor 5v kecil  @ 15.000,Material,,"15,000","1,557,940",,
,,Bi pembelian material tgl 22/01/2026- 1kg thinner bintang  @ 19.600               ,Material,,"19,600","1,538,340",,
,,diskon pembelanjaan,diskon,,"-1,372","1,539,712",,
,,"Bi pembelian material tgl 22/01/2026- 3m nymhy 2x1,5 @ 9.500                              ",Material,,"28,500","1,511,212",,
,,Bi pembelian material tgl 22/01/2026- 1pcs s/c lg.5  @ 26.000,Material,,"26,000","1,485,212",,
,,Bi pembelian material tgl 22/01/2026- 1pcs steker brolo @ 13.000,Material,,"13,000","1,472,212",,
,,Bi untuk pembelian Konsumsi Kantor tgl 22/01/2026 - 19 karyawan kantor @9.000                ,Konsumsi Kantor,,"171,000","1,301,212",,
,,Bi BBM N 2109 EFD km 431734 tgl 21/01/2026 ltr 3.0 maintance martopuro                        ,Transportasi,,"30,000","1,271,212",,
,,Bi BBM N 1195 FV tgl 22/01/2026 ltr 10.0 ,Transportasi,,100000,"1,171,212",,
,,Bi BBM N 2821 TEO km 373600 tgl 22/01/2026 ltr 1.0 lawang,Transportasi,,10000,"1,161,212",,
,,Bi BBM N 2668  km 510409 tgl 21/01/2026 ltr 1.5 maintance sentul,Transportasi,,15000,"1,146,212",,
,,Bi BBM N 2418 XBI km 594211 tgl 22/01/2026 ltr 1.5 IKR lawang ,IKR Lawang,,15000,"1,131,212",,
23-Jan,22,Dana Masuk Operasional,dana masuk,1718000,,"2,849,212",,
,,Bi untuk pembelian obat pak budi tgl 23/01/2026,lain-lain,,41000,"2,808,212",,
,,Bi BBM N 1124IC km 13023 tgl 23/01/2026 ltr 10.0 ,Transportasi,,100000,"2,708,212",,
,,Bi BBM N 1124IC km 13023 tgl 23/01/2026 ltr 10.0 ,Transportasi,,100000,"2,608,212",,
,,Bi BBM N 1124IC km 13023 tgl 23/01/2026 ltr 5.0,Transportasi,,50000,"2,558,212",,
,,Bi BBM N 2668  km 610409 tgl 23/01/2026 ltr 2.0 maintance karangploso,Transportasi,,20000,"2,538,212",,
,,Bi BBM N 2109 EFD  km 432218 tgl 23/01/2026 ltr 1.5 maintance sidodadi,Transportasi,,15000,"2,523,212",,
,,"Bi BBM  N 6460 ADR km 918842 tgl 23/01/2026 ltr 2.5 maintaince randu telu, karangploso                                                                                             ",Transportasi,,25000,"2,498,212",,
,,Bi transportasi untuk sosialisasi di blandit tgl 23/01/2026,Transportasi,,50000,"2,448,212",,
,,Bi transportasi IKR Lawang tgl 23/01/2026,IKR Lawang,,25000,"2,423,212",,
,,Bi untuk uang lembur  tim teknisi tgl 23/01/2026,lembur ,,50000,"2,373,212",,
,,Bi pembelian material tgl 23/01/2026- 2pcs closure @ 60.000,Material,,120000,"2,253,212",,
,,Bi pembelian material tgl 23/01/2026- 1pcs kunci pas 12/13@ 30.000,Material,,30000,"2,223,212",,
,,Bi pembelian konsumsi untuk sosialisasi di blandit  tgl 23/01/2026,sosialisasi,,"84,000","2,139,212",,
,,Bi pembelian konsumsi untuk maintance blimbing  tgl 23/01/2026,konsumsi,,9500,"2,129,712",,
24-Jan-26,23,dana Masuk Operasional,dana masuk,1367000,,"3,496,712",,
,,Bi pembelian material tgl 24/01/2026- 1pcs alkes @ 30.000,Material,,"30,000","3,466,712",,
,,Bi untuk pembelian listrik server lawang idpel 513010031061 tgl 24/01/2026              ,Listrik server lawang,,"200,000","3,266,712",,
,,Bi BBM M 5687 CP km 461354 tgl 24/01/2026 ltr 1.6,Transportasi,,"20,000","3,246,712",,
,,Bi BBM N2114 EFD km 364658 tgl 24/01/2026 ltr 3.0 maintance martopuro,Transportasi,,"30,000","3,216,712",,
,,Bi BBM N2113 EFD km 394822 tgl 24/01/2026 ltr 3.0 maintance sentul,Transportasi,,"30,000","3,186,712",,
,,Bi BBM N 1124IC km 13023 tgl 24/01/2026 ltr 10.0,Transportasi,,"100,000","3,086,712",,
,,Bi BBM N 2418 XBI km 594211 tgl 24/01/2026 ltr 1.5 IKR lawang ,IKR Lawang,,15000,"3,071,712",,
,,Bi BBM N 3222 KK km 180423 tgl 24/01/2026 ltr 2.0 IKR Blimbing,IKR Blimbing,,20000,"3,051,712",,
,,Bi untuk pembelian Konsumsi Kantor tgl 24/01/2026 - 19 karyawan kantor @9.000                ,Konsumsi Kantor,,"171,000","2,880,712",,
,,Bi untuk pembayaran tagihan FIF no. 851000265423 angsr ke-26 tgl 24/01/2026,Cicilan Motor,,"790,000","2,090,712",,
26-Jan-26,24,dana Masuk Operasional,dana masuk,891000,,"2,981,712",,
,,Bi untuk operasional pak budi ke malang tgl 25/01/2026,perjalanan bisnis,,"100,000","2,881,712",,
,,Bi untuk jenguk ibu dari bpk komisaris tgl 25/01/2026,jenguk,,"150,000","2,731,712",,
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 24/01/2026              ,Listrik Kantor,,"53,000","2,678,712",,
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 26/01/2026              ,Listrik Kantor,,"53,000","2,625,712",,
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 26/01/2026              ,Listrik Kantor,,"203,000","2,422,712",,
,,Bi untuk pembelian listrik server randuagung idpel 5130010486945 tgl 26/01/2026,Listrik Server,,"103,000","2,319,712",,
,,Bi untuk pembelian rumah tangga tgl 26/01/2026 - 1pcs kopi @ 13.000,Rumah Tangga,,13000,"2,306,712",,
,,Bi untuk pembelian rumah tangga tgl 26/01/2026 - 20pcs kotak makan  @ 1.700,Rumah Tangga,,34000,"2,272,712",,
,,Bi untuk pembelian rumah tangga tgl 26/01/2026 - tempe @ 10.000,Rumah Tangga,,10000,"2,262,712",,
,,Bi pembelian material tgl 26/01/2026- 3pcs solasi national @ 7.000,Material,,21000,"2,241,712",,
,,Bi pembelian material tgl 26/01/2026- 1pcs kabel tic @ 15.000,Material,,15000,"2,226,712",,
,,Bi pembelian material tgl 26/01/2026- 3pcs klem no.7 @ 3.000,Material,,9000,"2,217,712",,
,,Bi untuk pembayaran jasa teknisi indihome tgl 26/01/2026,jasa,,"100,000","2,117,712",,
,,Bi untuk fee pemasangan baru (psb) riski tgl 26/01/2026,fee,,"75,000","2,042,712",,
,,Bi BBM N 2109 EFD  km 433206 tgl 26/01/2026 ltr 1.5,Transportasi,,"15,000","2,027,712",,
,,Bi BBM N 3222 KK km 180425 tgl 26/01/2026 ltr 1.5 maintance lawang,Transportasi,,"15,000","2,012,712",,
,,Bi BBM P 2616 UC km 433206 tgl 26/01/2026 ltr 2.0 comboran,Transportasi,,"20,000","1,992,712",,
,,Bi pembelian konsumsi untuk rapat dengan pak heri tgl 26/01/2026,konsumsi,,"81,000","1,911,712",,
,,dana Masuk Operasional,dana masuk,1515000,,"3,426,712",,
,,Bi untuk perawatan  kendaraan service ganti ban  tgl 26/01/2026,Perawatan Kendaraan,,"50,000","3,376,712",,
,,Bi untuk konsumsi lembur dan iforte tgl 26/01/2026,lain-lain,,"224,000","3,152,712",,
27-Jan-26,25,Bi pembelian material tgl 27/01/2026- 1pack kabel tic @ 15.000,Material,,"15,000","3,137,712",,
,,Bi pembelian material tgl 27/01/2026- 3pcs solasi national @ 7.000,Material,,"21,000","3,116,712",,
,,Bi pembelian material tgl 27/01/2026- 1pcs 2F4E PCB @ 65.000,Material,,"65,000","3,051,712",,
,,Bi pembelian material tgl 27/01/2026- 1pcs adaptor 5V @ 15.000,Material,,"15,000","3,036,712",,
,,Bi pembelian material tgl 27/01/2026- 1pcs patchcore @ 20.000,Material,,"20,000","3,016,712",,
,,Bi pembelian material tgl 27/01/2026- 1pcs adaptor 5V kecil @ 15.000,Material,,15000,"3,001,712",,
,,Bi pembelian material tgl 27/01/2026- 1pcs adaptor 5V kotak @ 15.000,Material,,"15,000","2,986,712",,
,,"Bi pembelian material tgl 27/01/2026- 2pcs patch core 1m,2m @ 8.000",Material,,"16,000","2,970,712",,
,,Bi pembelian material tgl 27/01/2026- 2pcs netlink A-B @ 170.000,Material,,"170,000","2,800,712",,
,,Bi pembelian material tgl 27/01/2026- 2pcs 2F4E PCB @ 65.000,Material,,"130,000","2,670,712",,
,,diskon pembelanjaan,diskon,,"-1,000","2,671,712",,
,,Bi untuk pembelian rumah tangga tgl 27/01/2026 - 2rtg kapal mini@ 10.000,Rumah Tangga,,20000,"2,651,712",,
,,Bi untuk pembelian rumah tangga tgl 27/01/2026 - 1kg  gula @ 17.000,Rumah Tangga,,"17,000","2,634,712",,
,,Bi untuk pembelian rumah tangga tgl 27/01/2026 - 1pcs samsu ref 12 @ 23.000,Rumah Tangga,,"23,000","2,611,712",,
,,Bi untuk pembelian rumah tangga tgl 27/01/2026 - 1rtg top aren @ 17.500,Rumah Tangga,,"17,500","2,594,212",,
,,Bi untuk pembelian rumah tangga tgl 27/01/2026 - 1rtg top ovo@ 17.500,Rumah Tangga,,"17,500","2,576,712",,
,,Bi untuk pembelian rumah tangga tgl 27/01/2026 - 1pcs hand sntizer@ 13.000,Rumah Tangga,,"13,000","2,563,712",,
,,Bi untuk pembelian rumah tangga tgl 27/01/2026 - 1pcs f/t 2ply @ 24.000,Rumah Tangga,,"24,000","2,539,712",,
,,Bi untuk konsumsi tamu tgl 27/01/2026,tamu,,"69,000","2,470,712",,
,26,dana Masuk Operasional  1524000+800000,dana masuk,2324000,,"4,794,712",,
,,Bi untuk pembayaran jasa tukang pemasangan walldrove tgl 27/01/2026,jasa,,"500,000","4,294,712",,
,,Bi BBM N 2113 EFD km 474773 tgl 27/01/2026 ltr 1.5 IKR lawang ,IKR Lawang,,15000,"4,279,712",,
,,Bi BBM N 1195 FV tgl 27/01/2026 ltr 10.0 ,Transportasi,,100000,"4,179,712",,
,,Bi BBM N 2109 EFD km 433842 tgl 27/01/2026 ltr 3.0 maintance kertosari ,Transportasi,,"30,000","4,149,712",,
,,Bi BBM N 3222 KK km 180425 tgl 27/01/2026 ltr 1.5 maintance lawang,Transportasi,,"15,000","4,134,712",,
,,"Bi BBM AG 4129 YAX km 0 tgl 27/01/2026 ltr 3.0 maintance sentul,martopuro",Transportasi,,"30,000","4,104,712",,
,,Bi BBM N 2110 EFD km 396830 tgl 27/01/2026 ltr 2.5 maintance martopuro ,Transportasi,,"25,000","4,079,712",,
,,Bi BBM N 1124 IC tgl 27/01/2026 ltr 20.0 maintance blitar,Transportasi,,200000,"3,879,712",,
,,Bi untuk konsumsi maintance blitar tgl 27/01/2026,konsumsi,,68300,"3,811,412",,
,,diskon pembelanjaan,diskon,,-3700,"3,815,112",,
,,Bi untuk pembayaran tagihan FIF no. 851000265523 angsr ke-26 tgl 27/01/2026,Cicilan Motor,,800000,"3,015,112",,
28-Jan,27,dana Masuk Operasional,dana masuk,700000,,"3,715,112",,
,,Bi BBM N 2114 EFD km 368539 tgl 28/01/2026 ltr 3.0 maintance lawang ,Transportasi,,30000,"3,685,112",,
,,Bi BBM N 2821 TEO km 376510 tgl 28/01/2026 ltr 1.0  lawang ,Transportasi,,10000,"3,675,112",,
,,Bi BBM N 4976 FW km 59990 tgl 28/01/2026 ltr 1.0 ,Transportasi,,10000,"3,665,112",,
,,Bi BBM N 3222 KK km 180423 tgl 28/01/2026 ltr 1.5 maintance lawang,Transportasi,,15000,"3,650,112",,
,,Bi BBM N 2668 GM km 510409 tgl 28/01/2026 ltr 1.5 maintance sentul,Transportasi,,15000,"3,635,112",,
,,"Bi BBM N 2110 EFD km 3997551 tgl 28/01/2026 ltr 3.0 maintance  arjosari, alamhijau",Transportasi,,30000,"3,605,112",,
,,"Bi BBM N 4559 EGM  km 401999 tgl 27/01/2026 ltr 2.0 maintance  martopuro,bantaran",Transportasi,,20000,"3,585,112",,
,,Bi parkir N 2821 TEO Bank Mandiri Singosari tgl 28/01/2026,Transportasi,,"2,000","3,583,112",,
,,Bi BBM N 2418 YBI km 0 tgl 28/01/2026 ltr 1.5 IKR Lawanng,IKR Lawang,,15000,"3,568,112",,
,,Bi untuk pembayaran fee sales tim IKR Lawang unsur14 orang 28/01/2026,fee,,350000,"3,218,112",,
,,Bi pembelian material tgl 28/01/2026- 1pcs R-B biru 4s @ 18.000,Material,,18000,"3,200,112",,
,,Bi untuk pembelian Konsumsi Kantor tgl 27-28/01/2026 - 20 karyawan kantor             ,Konsumsi Kantor,,216000,"2,984,112",,
,,Bi untuk konsumsi lembur tim NOC tgl 28/01/2026,konsumsi,,264000,"2,720,112",,
29-Jan-26,28,dana masuk operasional,dana masuk,1101000,,"3,821,112",,
,,Bi untuk pembelian Konsumsi Kantor tgl 29/01/2026 - 20 karyawan kantor             ,Konsumsi Kantor,,100000,"3,721,112",,
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 28/01/2026              ,Listrik Kantor,,203000,"3,518,112",,
,,Bi pembelian material tgl 29/01/2026- 5pcs paku klem @ 3.000,Material,,"15,000","3,503,112",,
,,Bi pembelian material tgl 29/01/2026- 3pcs solasi national @ 7.000,Material,,21000,"3,482,112",,
,,Bi untuk pembelian rumah tangga tgl 29/01/2026 - 1pcs isi ulang bio @ 6.000,Rumah Tangga,,"6,000","3,476,112",,
,,Bi untuk pembayaran sisa tagihan FIF no.851000267823 angsr ke-26 tgl 29/01/2026,Cicilan Motor,,"7,000","3,469,112",,
,,Bi BBM M 2369 AI km 544338 tgl 29/01/2026 ltr 2.0 maintance rest area ,Transportasi,,20000,"3,449,112",,
,,Bi BBM N 4559 EGM km 402599  tgl 29/01/2026 ltr 1.5 maintance temenggungan ,Transportasi,,15000,"3,434,112",,
,,Bi BBM N 2109 EFD km 436024  tgl 29/01/2026 ltr 1.5 IKR Lawang,IKR Lawang,,15000,"3,419,112",,
,,Bi untuk perawatan  kendaraan service ban N 2114 EFD  tgl 29/01/2026,Perawatan Kendaraan,,20000,"3,399,112",,
,,Bi untuk  konsumsi operasional pakk budi ke batu tgl 29/01/2026,perjalanan bisnis,,59000,"3,340,112",,
30-Jan,29,dana masuk operasional ,dana masuk,1134000,,"4,474,112",,
,,Bi BBM N2418 XBI km 594211 tgl 29/01/2026 ltr 1.5 IKR Lawang,IIKR Lawang,,15000,"4,459,112",,
,,Bi BBM N 3281 GG  km551276 tgl 29/01/2026 ltr 1.5 IKR Lawang,IIKR Lawang,,15000,"4,444,112",,
,,"Bi BBM N 2760 ABO km 51027 tgl 30/01/2026 ltr 3.0 maintance martopuro, randuagung",Transportasi,,30000,"4,414,112",,
,,Bi BBM N 2109 km 436037 tgl 30/01/2026 ltr 2.0,Transportasi,,20000,"4,394,112",,
,,Bi BBM N1124 IC km 13729 tgl 30/01/2026 ltr 10.0,Transportasi,,100000,"4,294,112",,
,,Bi BBM N 2821 TEO km 3746442 tgl 30/01/2026 ltr 1.0  lawang ,Transportasi,,20000,"4,274,112",,
,,Bi BBM N 2110 km 398018 tgl 30/01/2026 ltr 2.0 maintance bumiayu,Transportasi,,20000,"4,254,112",,
,,"Bi BBM N 2109 km 436820 tgl 30/01/2026 ltr 2.0 maintance bumiayu, tidar",Transportasi,,20000,"4,234,112",,
,,"Bi BBM AG 4129 YAX km 0 tgl 30/01/2026 ltr 3.0 maintance temenggungan,bedali, karangkunci",Transportasi,,33990,"4,200,122",,
,,Bi BBM N 3222 KK km 180423 tgl 30/01/2026 ltr 1.5 maintance lawang,Transportasi,,15000,"4,185,122",,
,,"Bi BBM N 2668 GM km 519409 tgl 30/01/2026 ltr 2.0 maintance temenggungan, karangkunci",Transportasi,,20000,"4,165,122",,
,,Bi BBM N 1124 IC tgl 30/01/2026 ltr 10.0,Transportasi,,100000,"4,065,122",,
,,Bi untuk perawatan  kendaraan service  N 1124 IC tgl 30/01/2026,Perawatan Kendaraan,,445000,"3,620,122",,
,,Bi untuk perawatan  kendaraan service ban N 2114 EFD tgl 30/01/2026,Perawatan Kendaraan,,30000,"3,590,122",,
,,Bi untuk pembelian Konsumsi Kantor tgl 30/01/2026 - 20 karyawan kantor             ,Konsumsi Kantor,,"179,000","3,411,122",,
,,Bi untuk konsumsi kirim ke krian (ridwan&tiar) tgl 30/01/2026,konsumsi,,"201,200","3,209,922",,
,,Bi untuk pembayaran etol 6032982110269972 tgl  30/01/2026 kirim ke kerian,etol,,"98,500","3,111,422",,
,,Bi untuk operasional penagihan ke pak rudi (batu) tgl 30/01/2026                                  ,lain-lain,,100000,"3,011,422",,
31-Jan,30,dana masuk operasional,dana masuk,2073000,,"5,084,422",,
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 31/01/2026              ,Listrik Kantor,,"53,500","5,030,922",,
,,Bi untuk pembelian listrik server randuagung idpel 5130010486945 tgl 31/01/2026,Listrik Server,,203000,"4,827,922",,
,,Bi untuk pembelian rumah tangga tgl 31/01/2026 - 3pcs label tze tape @ 29.300,Rumah Tangga,,88005,"4,739,917",,
,,Bi untuk pembelian rumah tangga tgl 31/01/2026 - 7pcs oxy @ 12.000,Rumah Tangga,,84000,"4,655,917",,
,,Bi untuk pembelian rumah tangga tgl 31/01/2026 - 1pcs pel@ 20.000,Rumah Tangga,,20000,"4,635,917",,
,,Bi untuk pembelian rumah tangga tgl 31/01/2026 - 1pcs plastik @ 2.000,Rumah Tangga,,2000,"4,633,917",,
,,Bi BBM N 6170 km 243963 tgl 31/01/2026 ltr 1.5 lawang,Transportasi,,15000,"4,618,917",,
,,Bi BBM N 3222 KK km 181103 tgl 31/01/2026 ltr 2.0 maintance tutur,Transportasi,,"20,000","4,598,917",,
,,"Bi BBM N 2821 TEO km 378004 tgl 31/01/2026 ltr 1.5 martopuro,kertosari",Transportasi,,"15,000","4,583,917",,
,,Bi BBM N 2114 EFD km 372367 tgl 31/01/2026 ltr 1.5 mantance kertosari,Transportasi,,"15,000","4,568,917",,
,,Bi BBM N 2110 EFD km 477138 tgl 31/01/2026 ltr 2.0 maintance lawang,Transportasi,,"20,000","4,548,917",,
,,Bi BBM N 2114 EFD  km 678311 tgl 31/01/2026 ltr 1.0 maintance Bedali,Transportasi,,"10,000","4,538,917",,
,,Bi BBM N 2113 EFD  km 476356 tgl 31/01/2026 ltr 1.5 singosari,Transportasi,,"15,000","4,523,917",,
,,Bi BBM N2418 XBI km 594211 tgl 31/01/2026 ltr 1.5 IKR Lawang,IIKR Lawang,,"15,000","4,508,917",,
,,Bi untuk pembelian Konsumsi Kantor tgl 31/01/2026 - 20 karyawan kantor             ,Konsumsi Kantor,,"110,000","4,398,917",,
,,Bi untuk konsumsi maintance kertosari tgl 31/01/2026,konsumsi,,"12,100","4,386,817",,
,,diskon pembelanjaan,diskon,,"-1,800","4,388,617",,
,,Bi untuk transportasi operasional ke batu tgl 31/01/2026,perjalanan bisnis,,"31,000","4,357,617",,
,,Bi untuk operasional ke batu tgl 31/01/2026,perjalanan bisnis,,"478,000.00","3,879,617",,
,,Bi pembelian material tgl 31/01/2026- 1pcs converter 6F2E @ 170.000,Material,,"170,000.00","3,709,617",,
,,dana masuk operasional,dana masuk,1700000,,"5,409,617",,
,,Bi untuk uang lelah karyawan pedro tgl 31/01/2026,lain-lain,,"1,000,000","4,409,617",,
,,Bi untuk pembayaran fee sales tim IKR Lawang unsur 25orang 31/01/2026,fee,,"700,000","3,709,617",,
,,,,,,0,,
,,,,,,,,
,,,,,,,,
,,,,"20,713,000","17,003,383","3,709,617",,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,RINCIAN KAS BON,,,,,,
Tanggal,No.Bukti,,,,,,,
,,,,,,,,
17-Jan-26,,cod pak budi,,,"171,000",,,
,,rokok pak budi,,,"25,000",,,
19 Jan,,dafa cashbone,,,"50,000",,,
,,rokok pak budi,,,"24,000",,,
,,cod pak budi,,,"55,000",,,
1/20,,rok pak budi,,,"23,000",,,
,,mas riski  cashbone,,,"111,000",,,
,,pak budi buat tamu,,,"200,000",,,
,,cod pak budi           ,,,"470,000",,,
,,rokok pak budi           ,,,"23,000",,,
21-Jan-26,,cod pak budi                                     ,,,"123,000",,,
,,pak budi badminton                                     ,,,"150,000",,,
22-Jan-26,,pak budi beli bakso                                              ,,,"50,000",,,
,,rokok pak budi                                                           ,,,"23,500",,,
23-Jan-26,,50k (mas baim) bensin mobil  uang ada di buapril ,,,"50,000",,,
,,mas baim 30 k+  ,,,"30,000",,,
,,bu april krupuk ,,,"11,000",,,
,,elpiji ,,,"30,000",,,
24-Jan-26,,mas ridwan cashbone,,,"200,000",,,
,,pak budi,,,"300,000",,,
,,bu april adiva,,,"5,000",,,
26-Jan-26,,pak budi cod,,,"160,000",,,
,,pak budi,,,"100,000",,,
,,pak budi rokok,,,"50,000",,,
,,pak budi badminon,,,"160,000",,,
,,pak budi cod,,,"182,000",,,
,,bu april belanja,,,"50,000",,,
28-Jan-26,,PAK BUDI JAMU,,,"150,000",,,
,,"bu april empek""",,,"10,000",,,
,,BU APRIL JAJAN,,,"20,000",,,
,,RIDWAN CASHBONE,,,"100,000",,,
29-Jan-26,,BU APRIL PAKET XL,,,"40,000",,,
,,rokok pak budi,,,"23,000",,,
30-Jan-26,,rokok pak budi,,,"46,000",,,
,,pak budi,,,"150,000",,,
,,bu april  berobat,,,"125,000",,,
,,pak budi badminton                                  ,,,"110,000",,,
,,bu april jajan                                                 ,,,"5,000",,,
31-Jan-26,,rokok pak budi,,,"46,000",,,
,,pak budi cod,,,"24,000",,,
,,,,,,,,
,,,,,,,,
,,,,,"3,709,617",,,
,,,,,"  3,675,500.00 ",,,
,,Saldo Tunai                                                                                                                                                                 ,    ,,"  34,117.00 ",,,
,, , ,   ,,,,
,, ,,"Malang, 31 Januari 2026",,,,
"  Menyetujui,",,Mengetahui,,"Dibuat oleh,",,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Budi Hidayat,, Budi Hidayat,,Aisya Nur Fitri,,,,
