 ,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,,,,,,,,,
Periode 01-30 januari 2026,,,,,,,,,,,,,,,,
Tanggal,No.Bukti,Keterangan,, Jumlah ,,Saldo,,,,,,,RINCIAN KAS BON,,,
,,,, Penerimaan , Pengeluaran ,,,,,,Tanggal,No.Bukti,,,,
,,"Bi BBM AG 4129 YAX km 0 tgl 30/01/2026 ltr 3.0 maintance temenggungan,bedali, karangkunci",Transportasi,,33990,"3,306,472",,,,,,,,,,
,,Bi BBM N 3222 KK km 180423 tgl 30/01/2026 ltr 1.5 maintance lawang,Transportasi,,15000,"3,291,472",,,,,,,,,,
,,"Bi BBM N 2668 GM km 519409 tgl 30/01/2026 ltr 2.0 maintance temenggungan, karangkunci",Transportasi,,20000,"3,271,472",,,,,,,,,,
,,Bi BBM N 1124 IC tgl 30/01/2026 ltr 10.0,Transportasi,,100000,"3,171,472",,,,,,,,,,
,,Bi untuk perawatan  kendaraan service  N 1124 IC tgl 30/01/2026,Perawatan Kendaraan,,445000,"2,726,472",,,,,,,,,,
,,Bi untuk perawatan  kendaraan service ban N 2114 EFD tgl 30/01/2026,Perawatan Kendaraan,,30000,"2,696,472",,,,,,,,,,
,,Bi untuk pembelian Konsumsi Kantor tgl 30/01/2026 - 20 karyawan kantor             ,Konsumsi Kantor,,"179,000","2,517,472",,,,,,,,,,
,,Bi untuk konsumsi kirim ke krian (ridwan&tiar) tgl 30/01/2026,konsumsi,,"201,200","2,316,272",,,,,,,,,,
,,Bi untuk pembayaran etol 6032982110269972 tgl  30/01/2026 kirim ke kerian,etol,,"98,500","2,217,772",,,,,,,,,,
,,Bi untuk operasional penagihan ke pak rudi (batu) tgl 30/01/2026                                  ,lain-lain,,100000,"2,117,772",,,,,,,,,,
31-Jan,30,dana masuk operasional,dana masuk,2073000,,"4,190,772",,,,,,,,,,
,,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 31/01/2026              ,Listrik Kantor,,"53,500","4,137,272",,,,,,,,,,
,,Bi untuk pembelian listrik server randuagung idpel 5130010486945 tgl 31/01/2026,Listrik Server,,203000,"3,934,272",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 31/01/2026 - 3pcs label tze tape @ 29.300,Rumah Tangga,,88005,"3,846,267",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 31/01/2026 - 7pcs oxy @ 12.000,Rumah Tangga,,84000,"3,762,267",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 31/01/2026 - 1pcs pel@ 20.000,Rumah Tangga,,20000,"3,742,267",,,,,,,,,,
,,Bi untuk pembelian rumah tangga tgl 31/01/2026 - 1pcs plastik @ 2.000,Rumah Tangga,,2000,"3,740,267",,,,,,,,,,
,,Bi BBM N 6170 km 243963 tgl 31/01/2026 ltr 1.5 lawang,Transportasi,,15000,"3,725,267",,,,,,,,,,
,,Bi BBM N 3222 KK km 181103 tgl 31/01/2026 ltr 2.0 maintance tutur,Transportasi,,"20,000","3,705,267",,,,,,,,,,
,,"Bi BBM N 2821 TEO km 378004 tgl 31/01/2026 ltr 1.5 martopuro,kertosari",Transportasi,,"15,000","3,690,267",,,,,,,,,,
,,Bi BBM N 2114 EFD km 372367 tgl 31/01/2026 ltr 1.5 mantance kertosari,Transportasi,,"15,000","3,675,267",,,,,,,,,,
,,Bi BBM N 2110 EFD km 477138 tgl 31/01/2026 ltr 2.0 maintance lawang,Transportasi,,"20,000","3,655,267",,,,,,,,,,
,,Bi BBM N 2114 EFD  km 678311 tgl 31/01/2026 ltr 1.0 maintance Bedali,Transportasi,,"10,000","3,645,267",,,,,,,,,,
,,Bi BBM N 2113 EFD  km 476356 tgl 31/01/2026 ltr 1.5 singosari,Transportasi,,"15,000","3,630,267",,,,,,,,,,
,,Bi BBM N2418 XBI km 594211 tgl 31/01/2026 ltr 1.5 IKR Lawang,IIKR Lawang,,"15,000","3,615,267",,,,,,,,,,
,,Bi untuk pembelian Konsumsi Kantor tgl 31/01/2026 - 20 karyawan kantor             ,Konsumsi Kantor,,"110,000","3,505,267",,,,,,,,,,
,,Bi untuk konsumsi maintance kertosari tgl 31/01/2026,konsumsi,,"12,100","3,493,167",,,,,,,,,,
,,diskon pembelanjaan,diskon,1800,,"3,494,967",,,,,,,,,,
,,Bi untuk transportasi operasional ke batu tgl 31/01/2026,perjalanan bisnis,,"31,000","3,463,967",,,,,,,,,,
,,Bi untuk operasional ke batu tgl 31/01/2026,perjalanan bisnis,,"478,000.00","2,985,967",,,,,,,,,,
,,Bi pembelian material tgl 31/01/2026- 1pcs converter 6F2E @ 170.000,Material,,"170,000.00","2,815,967",,,,,,,,,,
,,dana masuk operasional,dana masuk,1700000,,"4,515,967",,,,,,,,,,
,,Bi untuk uang lelah karyawan pedro tgl 31/01/2026,lain-lain,,"1,000,000","3,515,967",,,,,,,,,,
,,Bi untuk pembayaran fee sales tim IKR Lawang unsur 25orang 31/01/2026,fee,,"700,000","2,815,967",,,,,,,,,,
,,Bi dana pengembalian kasbone tgl 31/01/2026,lain-lain,2115650,,"4,931,617",,,,,,,,,,
,,,,,,0,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,"35,092,622","30,161,005","4,931,617",,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,"4,931,617",,,,,,,,,,,
,,,,,  -   ,,,,,,,,,,,
,,Saldo Tunai                                                                                                                                                                 ,    ,,"  4,931,617.00 ",,,,,,,,,,,
,, , ,   ,,,,,,,,,,,,
,, ,,"Malang, 31 Januari 2026",,,,,,,,,,,,
"  Menyetujui,",,Mengetahui,,"Dibuat oleh,",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Budi Hidayat,, Budi Hidayat,,Aisya Nur Fitri,,,,,,,,,,,,
