,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,,,,
Periode 01-31 Maret 2026,,,,,,,,,,,
Tanggal,No.Bukti,Keterangan,Kategori, Penerimaan , Pengeluaran ,Saldo,,,Kategori,SUM of  Pengeluaran ,SUM of  Penerimaan 
17-maret,14,Bi untuk pembelian rumah tangga tgl 17/03/2026- 1pcs  neo crml.mc @ 10.800,Rumah Tangga,,10800,"1,753,925",,,,,
17-maret,14,Bi untuk pembelian rumah tangga tgl 17/03/2026- 1pcs  lwk kopi @ 10.500,Rumah Tangga,,10500,"1,743,425",,,,,
17-maret,14,Bi untuk pembelian rumah tangga tgl 17/03/2026- 1pcs stella bali  @ 27.200,Rumah Tangga,,27200,"1,716,225",,,,,
17-maret,14,Bi untuk pembelian rumah tangga tgl 17/03/2026- 1pcs idm ct. bud baby  @ 5.000,Rumah Tangga,,5000,"1,711,225",,,,,
17-maret,14,Bi untuk pembelian rumah tangga tgl 17/03/2026- 1pcs idm ct. buds rfl @ 5.000,Rumah Tangga,,5000,"1,706,225",,,,,
17-maret,14,Bi untuk pembelian rumah tangga tgl 17/03/2026- 1pcs idm ktg plastik 1w @ 300,Rumah Tangga,,300,"1,705,925",,,,,
17-maret,14,diskon pembelian,diskon,,-5100,"1,711,025",,,,,
17-maret,14,Bi parkir N 2821 TEO Bank Mandiri Singosari tgl 17/03/2026,transportasi,,2000,"1,709,025",,,,,
17-maret,14,Bi BBM N 2113 EFD tgl 17/03/2026 ltr 1.0  lawang,transportasi,,10000,"1,699,025",,,,,
17-maret,14,Bi BBM N 2821 TEO km 402174 tgl 17/03/2026 ltr 2.5  kepanjen,transportasi,,25000,"1,674,025",,,,,
17-maret,14,Bi BBM  M 5687 CP km 478080 tgl 17/03/2026 ltr 1.0  maintance lawang,transportasi,,10000,"1,664,025",,,,,
17-maret,14,Bi BBM  N 5106 HO km 276830 tgl 17/03/2026 ltr 1.0  maintance garuda,transportasi,,10000,"1,654,025",,,,,
17-maret,14,Bi BBM  N 2110 EFD  km 422182 tgl 17/03/2026 ltr 2.0  maintance lawang,transportasi,,20000,"1,634,025",,,,,
17-maret,14,Bi BBM  N 2113 EFD  km 501637 tgl 17/03/2026 ltr 1.0  maintance suko,transportasi,,10000,"1,624,025",,,,,
17-maret,14,Bi BBM  N 2114 EFD  km 356715  tgl 17/03/2026 ltr 2.0  maintance karangploso,transportasi,,20000,"1,604,025",,,,,
17-maret,14,Bi BBM  N 1195 FV tgl 17/03/2026 ltr 5.0  ,transportasi,,50000,"1,554,025",,,,,
17-maret,14,Bi untuk konsumsi ke kepanjen tgl 17/03/2026,konsumsi,,25000,"1,529,025",,,,,
17-maret,14,Bi untuk pembayaran fee psb pelanggan tgl 17/03/2026,lain-lain,,50000,"1,479,025",,,,,
18-maret,15,dana Masuk Operasional,dana masuk,2000000,,"3,479,025",,,,,
18-maret,15,dana Masuk Operasional,dana masuk,1500000,,"4,979,025",,,,,
18-maret,15,Bi untuk pembayaran sewa gudang per3bulan tgl 17/03/2026,sewa,,1500000,"3,479,025",,,,,
18-maret,15,Bi untuk pembelian rumah tangga tgl 18/03/2026- 2pcs amplang 900gr@ 40.000,Rumah Tangga,,80000,"3,399,025",,,,,
18-maret,15,Bi untuk pembelian rumah tangga tgl 18/03/2026- 1pcs jajan krupuk pedas @ 70.000,Rumah Tangga,,70000,"3,329,025",,,,,
18-maret,15,Bi untuk pembelian rumah tangga tgl 18/03/2026- 5pcs paperbag  @ 8.500,Rumah Tangga,,42500,"3,286,525",,,,,
18-maret,15,Bi untuk pembayaran jasa bongkar muat tiang 6/7/9 + kabel tgl 18/03/2026,lain-lain,,750000,"2,536,525",,,,,
18-maret,15,Bi BBM  N 1195 FV tgl 18/03/2026 ltr 5.6,transportasi,,70000,"2,466,525",,,,,
18-maret,15,Bi untuk perawatan  kendaraan cuci N 1195 FV tgl 18/03/2026,Perawatan Kendaraan,,30000,"2,436,525",,,,,
19-maret,16,Bi pembelian material tgl 19/03/2026- 2pcs 2f4e + adaptor @ 75.000,Material,,150000,"2,286,525",,,,,
19-maret,16,Bi pembelian material tgl 19/03/2026- 2pcs adaptor @ 15.000,Material,,30000,"2,256,525",,,,,
19-maret,16,Bi untuk pembelian rumah tangga tgl 19/03/2026- 1pcs krsk merah @ 30.000,Rumah Tangga,,30000,"2,226,525",,,,,
19-maret,16,dana Masuk Operasional,dana masuk,1843000,,"4,069,525",,,,,
25-maret,17,dana Masuk Operasional,dana masuk,1584000,,"5,653,525",,,,,
25-maret,17,Bi BBM  N 3346 ABF  km 693012 tgl 17/03/2026 ltr 2.5 mainatance ngadipuro,transportasi,,25000,"5,628,525",,,,,
25-maret,17,Bi BBM  N 3281 tgl 18/03/2026 ltr 1.0,transportasi,,10000,"5,618,525",,,,,
25-maret,17,Bi BBM  M 5687 CP  km 479047 tgl 18/03/2026 ltr 2.0 maintance rest area ,transportasi,,20000,"5,598,525",,,,,
25-maret,17,"Bi BBM N 2668 GM  km 5106244 tgl 18/03/2026 ltr 2.0 maintance sentul,srigading,bantaran ",transportasi,,20000,"5,578,525",,,,,
25-maret,17,"Bi BBM N 3346 ABF km 694059 tgl 19/03/2026 ltr 2.0 maintance srigading,bedali ",transportasi,,20000,"5,558,525",,,,,
25-maret,17,Bi BBM N 2760 ABO tgl 19/03/2026 ltr 3.0 ,transportasi,,30000,"5,528,525",,,,,
25-maret,17,Bi BBM N 2113 EFD km 502607 tgl 24/03/2026 ltr 1.5 maintance srigading,transportasi,,15000,"5,513,525",,,,,
25-maret,17,Bi BBM N 2668 GM km 5106344 tgl 24/03/2026 ltr 3.0 maintance gajahan,transportasi,,30000,"5,483,525",,,,,
25-maret,17,Bi pembelian material tgl 25/03/2026- 1pcs modem f477v2+adaptor @ 105.000,Material,,105000,"5,378,525",,,,,
25-maret,17,Bi untuk pembayaran tagihan FIF no. 851000268123 angsr ke-28 tgl 25/03/2026,Cicilan Motor,,792000,"4,586,525",,,,,
25-maret,17,Bi untuk pembayaran tagihan FIF no. 851000265423 angsr ke-28 tgl 25/03/2026,Cicilan Motor,,792000,"3,794,525",,,,,
26-maret,18,dana Masuk Operasional,dana masuk,2000000,,"5,794,525",,,,,
26-maret,18,Bi untuk operasional maintance bobobox tgl 26/03/2026,lain-lain,,100000,"5,694,525",,,,,
26-maret,18,Bi untuk pembayaran ongkos kirim ke kantor starlite tgl 26/03/2026,ongkir,,15050,"5,679,475",,,,,
26-maret,18,Bi untuk pembelian listrik server randuagung idpel 5130010486945 tgl 26/03/2026,Listrik Server,,203500,"5,475,975",,,,,
26-maret,18,Bi untuk pembayaran tagihan FIF no. 851000267823 angsr ke-28 tgl 26/03/2026,Cicilan Motor,,796000,"4,679,975",,,,,
26-maret,18,"Bi BBM  N 6840 GE km 589821 tgl 26/03/2026 ltr 2.5 Maintance comboran,sentul,lawang ",transportasi,,25000,"4,654,975",,,,,
26-maret,18,Bi BBM  N 2109 EFD km 465801 tgl 26/03/2026 ltr 3.4 ,transportasi,,34690,"4,620,285",,,,,
27-maret,19,dana Masuk Operasional,dana masuk,1000000,,"5,620,285",,,,,
27-maret,19,Bi untuk fee psb pelanggan tgl 27/03/2026,fee,,50000,"5,570,285",,,,,
27-maret,19,Bi untuk pembelian rumah tangga tgl 27/03/2026 - 6pcs oxy@ 12.000,Rumah Tangga,,72000,"5,498,285",,,,,
27-maret,19,Bi untuk pembayaran tagihan FIF no. 851000267723 angsr ke-28 tgl 27/03/2026,Cicilan Motor,,799000,"4,699,285",,,,,
27-maret,19,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 27/03/2026              ,Listrik Kantor,,103000,"4,596,285",,,,,
28-maret,20,Bi pembelian material tgl 28/03/2026- 3pcs modem f477v2+ adaptor @ 105.000,Material,,315000,"4,281,285",,,,,
28-maret,20,Bi pembelian material tgl 28/03/2026- 15pcs patch core @ 8.000,Material,,120000,"4,161,285",,,,,
28-maret,20,Bi untuk pembayaran tagihan FIF no. 851000265523 angsr ke-28 tgl 28/03/2026,Cicilan Motor,,803000,"3,358,285",,,,,
30-maret,21,dana Masuk Operasional,dana masuk,115000,,"3,473,285",,,,,
30-maret,21,Bi parkir N 2821 TEO Bank Mandiri Singosari tgl 30/03/2026,transportasi,,2000,"3,471,285",,,,,
30-maret,21,Bi BBM  N 2109 EFD  km 69902 tgl 30/03/2026 ltr 2.0  maintance purwodadi,transportasi,,20000,"3,451,285",,,,,
30-maret,21,"Bi BBM  N 6840 GE km 987876 tgl 30/03/2026 ltr 3.0  maintance bedali ,halal bi halal",transportasi,,30000,"3,421,285",,,,,
30-maret,21,Bi BBM  N 1124 IC  km 20365 tgl 30/03/2026  ltr 10.0,transportasi,,100000,"3,321,285",,,,,
30-maret,21,Bi untuk bensin komisaris tgl 30/03/2026,transportasi,,150000,"3,171,285",,,,,
30-maret,21,Bi pembelian material tgl 30/03/2026- 1pcs modem f66nv9+adap @ 125.000,Material,,125000,"3,046,285",,,,,
30-maret,21,Bi pembelian material tgl 30/03/2026- 1pcs klem @ 10.000,Material,,10000,"3,036,285",,,,,
30-maret,21,Bi pembelian material tgl 30/03/2026- 1pcs bubble wrap@ 85.000,Material,,85000,"2,951,285",,,,,
30-maret,21,Bi untuk fee psb pelanggan tgl 30/03/2026,fee,,50000,"2,901,285",,,,,
30-maret,21,Bi untuk amplop camat dan sekretaris camat blimbing tgl 30/03/2026,lain-lain,,400000,"2,501,285",,,,,
30-maret,21,Bi untuk hadiah halal bi halal tgl 30/03/2026,lain-lain,,211000,"2,290,285",,,,,
30-maret,21,Bi untuk fee tamu smp 1 singosari tgl 30/03/2026,lain-lain,,400000,"1,890,285",,,,,
30-maret,21,Bi untuk kue halal bi halal tgl 30/03/2026,lain-lain,,300000,"1,590,285",,,,,
30-maret,21,Bi untuk parkir halal bi halal tgl 30/03/2026,lain-lain,,50000,"1,540,285",,,,,
30-maret,21,Bi untuk pembayaran router. Ak ibu april tgl 30/03/2026,lain-lain,,110000,"1,430,285",,,,,
31-maret,22,dana Masuk Operasional,dana masuk,3500000,,"4,930,285",,,,,
31-maret,22,dana Masuk Operasional,dana masuk,476000,,"5,406,285",,,,,
31-maret,22,Bi untuk pengembalian dana cod nia bu dida tgl 31/03/2026,lain-lain,,47000,"5,359,285",,,,,
31-maret,22,Bi BBM  N 2110 EFD  km 589781 tgl 01/04/2026 ltr 1.5  maintance srigading,transportasi,,15000,"5,344,285",,,,,
31-maret,22,Bi BBM  N 3346 ABF  km 695077 tgl 20/03/2026 ltr 2.5 ,transportasi,,25000,"5,319,285",,,,,
31-maret,22,Bi BBM  N 5810 VAB  km 12698 tgl 26/03/2026 ltr 3.0 maintance batu,transportasi,,30000,"5,289,285",,,,,
31-maret,22,Bi BBM  N 2110 EFD  km 438921 tgl 27/03/2026 ltr 2.0 maintance tutur,transportasi,,20000,"5,269,285",,,,,
31-maret,22,"Bi BBM  N 6840 GE km 587681 tgl 27/03/2026 ltr 2.0 maintance lawang,comboran,sentul",transportasi,,20000,"5,249,285",,,,,
31-maret,22,Bi BBM  M 3369 AI km 47662 tgl 27/03/2026 ltr 2.0 maintance comboran,transportasi,,20000,"5,229,285",,,,,
31-maret,22,Bi BBM  N 2113 EFD km 505757 tgl 31/03/2026 ltr 2.0  ikr blimbing,transportasi,,20000,"5,209,285",,,,,
31-maret,22,Bi BBM  N 5106 HO km 276829 tgl 31/03/2026 ltr 2.0  ikr blimbing,transportasi,,20000,"5,189,285",,,,,
31-maret,22,Bi BBM  N 2109 EFD km 470815 tgl 31/03/2026 ltr 1.0  maintance paralayang,transportasi,,10000,"5,179,285",,,,,
31-maret,22,Bi BBM  N 2114 EFD km 36910 tgl 31/03/2026 ltr 1.0  maintance paralayang,transportasi,,10000,"5,169,285",,,,,
31-maret,22,Bi BBM  N 2114 EFD  tgl 31/03/2026 ltr 1.0  ,transportasi,,12000,"5,157,285",,,,,
31-maret,22,Bi parkir N 2821 TEO Bank Mandiri Singosari tgl 31/03/2026,transportasi,,2000,"5,155,285",,,,,
31-maret,22,Bi untuk operasional maintance paralayang tgl 31/03/2026,lain-lain,,71700,"5,083,585",,,,,
31-maret,22,Bi pembelian material tgl 31/03/2026- 1pcs modem f477v2+ adaptor@ 105.000,Material,,105000,"4,978,585",,,,,
31-maret,22,Bi pembelian material tgl 31/03/2026- 1pcs talitis @ 5.000,Material,,5000,"4,973,585",,,,,
31-maret,22,Bi pembelian material tgl 31/03/2026- 1pcs adaptor 1A @ 17.500,Material,,17500,"4,956,085",,,,,
31-maret,22,Bi pembelian material tgl 31/03/2026- 2pcs solasi national @ 7.500,Material,,15000,"4,941,085",,,,,
31-maret,22,Bi pembelian material tgl 31/03/2026- 3pcs klem 6m @ 6.000,Material,,18000,"4,923,085",,,,,
31-maret,22,Bi untuk konsumsi kantor tgl 31/03/2026,konsumsi kantor,,150000,"4,773,085",,,,,
31-maret,22,Bi untuk pembelian listrik kantor randuagung idpel 513010051348 tgl 31/03/2026              ,Listrik Kantor,,103500,"4,669,585",,,,,
,,,,"30,432,705","25,763,120","4,669,585",,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,RINCIAN KAS BON,,,,,,,,,
Tanggal,No.Bukti,,,,,,,,,,
,,,,,,,,,,,
03-maret,,cod pak budi ,,,"23,000",,,,,,
,,rokok pak budi,,,"50,000",,,,,,
05-maret,,rokok pak budi,,,"49,000",,,,,,
,,gofood pak budi,,,"32,500",,,,,,
,,PAK BUDI COD SARUNG KOKO,,,"239,000",,,,,,
,,ROKOk pak budi uang ambil sendiri bapak,,,"50,000",,,,,,
06-maret,,COD PT PLASTIK BERAS,,,"124,500",,,,,,
,,rokok pak budi,,,"24,000",,,,,,
,,bu april,,,"110,000",,,,,,
07-maret ,,rokok pak budi,,,"50,000",,,,,,
,,elpiji 2                              ,,,"40,000",,,,,,
,,gofood pak budi                           ,,,"36,500",,,,,,
10-maret,,rokok bapk budi,,,"24,000",,,,,,
,,bu april belikardus,,,"10,000",,,,,,
11-MARET,,rokok pak budi dan pak bara,,,"49,000",,,,,,
12-maret ,,rokok pak  budi,,,"47,000",,,,,,
,,nasi padang pak budi,,,"25,000",,,,,,
16-maret,,rokok pak budi,,,"47,000",,,,,,
,,belanja nia bu april,,,"20,000",,,,,,
,,rokok pak budi,,,"23,500",,,,,,
17-maret,,cod pak budi buku seni membaca manusia,,,"187,000",,,,,,
,,beli telur mbk tiwi bu dida,,,"15,000",,,,,,
,,novel pl,,,"12,000",,,,,,
18-maret,,bu aprl pisang,,,"10,000",,,,,,
,,rokok pak budi,,,"48,000",,,,,,
,,rokok tamu,,,"50,000",,,,,,
,,NOVAL BELI ES,,,"30,000",,,,,,
19-maret,,bapk budi minta uang,,,"100,000",,,,,,
,,rush novel,,,"100,000",,,,,,
20-maret,,cod bapak,,,"80,500",,,,,,
24-maret,,Bensin om agus krian,,,"50,000",,,,,,
,,pak budi,,,"50,000",,,,,,
25-maret,,rokok pak budi + belanja,,,"69,000",,,,,,
,,riduwan kasbon,,,"50,000",,,,,,
26-maret,,nutup setoran 17 maret,,,"35,000",,,,,,
,,dipinjam bu april tgl 17 maret,,,"1,500,000",,,,,,
,,cod noval,,,"11,500",,,,,,
,,Rokok pak budi,,,"46,000",,,,,,
,,tahu telor hawwin,,,"12,000",,,,,,
,,riduwan kasbon,,,"300,000",,,,,,
,,noval gojek,,,"16,000",,,,,,
27-maret,,cod obat pak budi,,,"140,000",,,,,,
,,cod pak budi remote tv,,,"150,500",,,,,,
,,makan siang rujak mb unda,,,"30,000",,,,,,
,,cod bu april sandal japit,,,"23,500",,,,,,
,,LPG,,,"40,000",,,,,,
28-MARET,,beli ayam ayikdini,,,"111,000",,,,,,
30-MARET,,ROKOK PAK BUDI TGL 27,,,"47,000",,,,,,
31 maret,,ibu april bensin kasbon,,,"100,000",,,,,,
,,ROKOK BPAK BUDI,,,"23,500",,,,,,
,,cod bpk salep,,,"95,000",,,,,,
,,ibu april  kasbon,,,"50,000",,,,,,
,,pak budi,,,"100,000",,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,"4,669,585",,,,,,
,,,,,"  4,756,500.00 ",,,,,,
,,Saldo Tunai                                                                                                                                                                 ,    ,,"  (86,915.00)",,,,,,
,, , ,   ,,,,,,,
