,,,,,,,,,,,
Laporan Kas Harian PT. SKYNET LINTAS NUSANTARA,,,,,,,,,,,
Periode 01-30 April 2026,,,,,,,,,,,
Tanggal,No.Bukti,Keterangan,kategori, Penerimaan , Pengeluaran ,Saldo,,,,,
,,cod pak budi one set,,,"115,000",,,,,,
9-April,,pak budi,,,"50,000",,,,,,
,,cod nia untuk wisuda novel,,,"42,500",,,,,,
,,mas baim kas bone,,,"50,000",,,,,,
,,gofood pak budi,,,"79,000",,,,,,
10-Apr-26,,rokok pak bara tgl8,,,"26,000",,,,,,
,,COD PAK BUDI SPION,,,"458,000",,,,,,
11-Apr-26,,pak budi bensin,,,"250,000",,,,,,
13-Apr-26,,cod pak budi lampu mobil,,,"45,000",,,,,,
14-Apr-26,,pak budi mie,,,"15,000",,,,,,
,,pak budi minta,,,"100,000",,,,,,
15-Apr-26,,pak budi rokok,,,"23,500",,,,,,
,,gas rokok pak budi,,,"43,500",,,,,,
,,cod noval,,,"110,000",,,,,,
16-Apr-26,,ROKOK PAK BUDI,,,"47,000",,,,,,
,,cod nia,,,"16,000",,,,,,
21-Apr-26,,bensin noval,,,"20,000",,,,,,
,,cod bpk budi pengawet buah kering apricot,,,"139,000",,,,,,
,,cod pak budi,,,"286,000",,,,,,
,,beli rokok bapak budi 2 pak,,,"48,000",,,,,,
,,beli telur,,,"20,000",,,,,,
22-Apr-26,,rokok PAK BUDI,,,"47,000",,,,,,
,,cod noval charging usb,,,"107,000",,,,,,
23-Apr-26,,kasbone baim,,,"200,000",,,,,,
,,rokok pak budi,,,"47,000",,,,,,
24-Apr-26,,kasbone ridwan,,,"250,000",,,,,,
,,bu april bensin evalia,,,"50,000",,,,,,
25-Apr-26,,BERAS ,,,"375,000",,,,,,
,,rokok bapak budi,,,"47,800",,,,,,
,,gojek vanes bu april,,,"7,000",,,,,,
27-Apr-26,,ridwan kasbone,,,"100,000",,,,,,
,,bensin bu april,,,"10,000",,,,,,
,,bu april,,,"10,000",,,,,,
,,rokok pak budi,,,"47,800",,,,,,
,,bensin nia,,,"20,000",,,,,,
,,soto pak budi,,,"10,000",,,,,,
28-Apr-26,,ridwan kasbone,,,"100,000",,,,,,
,,ongkir kabel,,,"80,000",,,,,,
,,nia cod,,,"37,000",,,,,,
,,"beli es anak""",,,"3,000",,,,,,
,,rokok pak budi,,,"47,000",,,,,,
,,bensin pak bara,,,"50,000",,,,,,
,,COD PT SKYNET,,,"438,000",,,,,,
,,cod pak budi pembersih jok,,,"84,000",,,,,,
,,pak budi ngasih anak pak carik,,,"50,000",,,,,,
29-Apr-26,,lpg,,,"40,000",,,,,,
,,ROKOK PAK BUDI,,,"50,000",,,,,,
,,cod pak budi pembersih jok + lampu led ,,,"210,000",,,,,,
,,BUDIIDA KUCING,,,"200,000",,,,,,
,,BU DIDA BENSIN,,,"100,000",,,,,,
30-Apr-26,,amplop,,,"100,000",,,,,,
,,amplop pak es dkk,,,"100,000",,,,,,
,,cod p budi,,,"60,000",,,,,,
,,cod nia,,,"57,000",,,,,,
,,amplop uang duka,,,"200,000",,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,"7,966,230",,,,,,
,,,,,"  6,395,600.00 ",,,,,,
,,,,,"  1,570,630.00 ",,,,,,
,, , ,   ,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,kategori,SUM of  Pengeluaran ,SUM of  Penerimaan ,,,,,,
,,,ATK,"745,709.00",0,,,,,,
,,,Cicilan Motor,"2,394,000.00",0,,,,,,
,,,dana masuk,0.00,31561000,,,,,,
,,,diskon,"-3,600.00",55499,,,,,,
,,,etol,"150,000.00",0,,,,,,
,,,fee,"1,250,000.00",0,,,,,,
,,,gaji,"250,000.00",0,,,,,,
,,,konsumsi,"886,900.00",0,,,,,,
,,,konsumsi jenguk,"220,000.00",0,,,,,,
,,,konsumsi kantor,"2,166,000.00",0,,,,,,
,,,lain-lain,"2,770,000.00",0,,,,,,
,,,Listrik Kantor,"1,285,000.00",0,,,,,,
,,,Listrik Server,"411,500.00",0,,,,,,
,,,Listrik server lawang,"200,000.00",0,,,,,,
,,,Listrik Server Sentul,"100,000.00",0,,,,,,
,,,Material,"3,690,400.00",0,,,,,,
,,,perawatan aset kantor,"407,000.00",0,,,,,,
,,,perawatan kendaraan ,"1,436,000.00",0,,,,,,
,,,pulsa,"137,900.00",0,,,,,,
,,,Rumah Tangga,"621,500.00",0,,,,,,
,,,saldo awal,0.00,"370,000",,,,,,
,,,sangu,1168000,0,,,,,,
,,,transportasi,"3,733,960",0,,,,,,
,,,Grand Total,"24,020,269","31,986,499",,,,,,
